Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Description,Environment,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Custom field (ART Sync Notes),Custom field (About),Custom field (Acceptance Criteria),Custom field (Activity),Custom field (Actual Business Value),Custom field (Actual Iteration),Custom field (Actual downtime),Custom field (Additional Information),Custom field (AeTM Migration Wave),Custom field (Assign Decision To),Custom field (Assignee Role),Custom field (Attached file with changes),Custom field (Automatic Transition),Custom field (Benefit Hypothesis),Custom field (Business Assumptions),Custom field (Business Case),Custom field (Business Justification),Custom field (Business need sign off criteria),Custom field (Case Creation Date),Custom field (Case Creation Date/Time),Custom field (Case Number/s),Custom field (Category of problem),Custom field (Client status),Custom field (Code Review Report),Custom field (Commercial impact),Custom field (Commitment Level),Custom field (Committed revenues p.a.),Custom field (Competitive information),Custom field (Complexity),Custom field (Configure),Custom field (Construct),Custom field (Construct),Custom field (Cost/risk points),Custom field (Current Situation),Custom field (Customer Points),Custom field (Customer complexity),Custom field (Customer priority),Custom field (DB Change included),Custom field (DT Number/s),Custom field (Date of First Response [CHART]),Custom field (Deadline SOR),Custom field (Decision),Custom field (Delivery Service Designer),Custom field (Description of potential side effects),Custom field (Design),Custom field (Developer),Custom field (EMS Database Version/s),Custom field (Effective Assignee),Custom field (Effective Resolution),Custom field (Effective Status),Custom field (Environment types),Custom field (Epic Link),Custom field (Escalation contact),Custom field (Executive Summary),Custom field (Expected Behavior),Custom field (Expected downtime),Custom field (Expense Database Version/s),Custom field (Expense pDef Findings),Custom field (External Expert),Custom field (Fallback procedure),Custom field (Feature Validation),Custom field (Feature Validation Result),Custom field (Feature Validation Test Set URL),Custom field (Findings),Custom field (Fix),Custom field (Fix Priority),Custom field (General Information),Custom field (Help Role),Custom field (How was it solved?),Custom field (ITO Findings),Custom field (ITS Team Assigned),Custom field (Impact on booking volume),Custom field (Impacting customer implementation/rollout),Custom field (Implementation deadline),Custom field (Implementation phase),Custom field (Incident date/time),Custom field (Include in GFTP),Custom field (Initial Request Date by Customer),Custom field (Initially Created),Custom field (Installation Instructions),Custom field (Interest),Custom field (Investigating Methods),Custom field (Is planned),Custom field (Issue Links Overview),Custom field (Job Size (WSJF)),Custom field (Join),Custom field (MDs spend),Custom field (Maintenance DT),Custom field (Mandate points),Custom field (Mandatory),Custom field (Meeting Notes),Custom field (Memory),Custom field (Mobile Findings),Custom field (Notes),Custom field (OLD Agile Release Train (ART)),Custom field (Original story points),Custom field (PCI-DSS Reviews),Custom field (PCI-DSS related),Custom field (PDef Transition),Custom field (PSD document),Custom field (Parameter/s),Custom field (Parent Key),Custom field (Parent Link),Custom field (Parent Transition),Custom field (Password (test system)),Custom field (Performance risk),Custom field (Personal Notes),Custom field (Planned Business Value),Custom field (Planned Iteration),Custom field (Prefix),Custom field (Prio Ranking),Custom field (Priority Index),Custom field (ProdDef Size),Custom field (Product Definition),Custom field (Product Value),Custom field (Product value points),Custom field (Project Manager),Custom field (Proposed Corrective Actions),Custom field (Proposed Solution),Custom field (Proposed suggestion),Custom field (Public bug information),Custom field (QA Size),Custom field (Quality Assurance),Custom field (Rank),Custom field (Reason to Reopen),Custom field (Reason to Suspend),Custom field (Regression Test Case URL),Custom field (Rejection reason),Custom field (Release Date),Custom field (Release Management Findings),Custom field (Release Note Required),Custom field (Release Notes),Custom field (Release Project Management Findings),Custom field (Remaining Story Points),Custom field (Reported Date),Custom field (Request),Custom field (Request Type),Custom field (Requested For Quarter),Custom field (Required Skill Level),Custom field (Resources),Custom field (Responsive Design),Custom field (Restart Category),Custom field (Restart Type),Custom field (Result/s),Custom field (Retention or Growth (WSJF)),Custom field (Review Date),Custom field (Risk Assessment),Custom field (Risk Assessment Description),Custom field (Risk Reduction/Opportunity (WSJF)),Custom field (Risk Reduction/Opportunity explanation),Custom field (Risks),Custom field (Root Cause),Custom field (SAFe Epic Type),Custom field (SAFe Feature Type),Custom field (SOR document),Custom field (Security/PCI Compliance Decision),Custom field (Server : System : Location : Division),Custom field (Session),Custom field (Severity),Custom field (Showstopper (WSJF)),Custom field (Showstopper explanation),Custom field (Size),Custom field (Slot time frame),Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Strategic customer),Custom field (Strategic customer points),Custom field (Subtask Overview),Custom field (Support from FT),Custom field (Support task assignee),Custom field (Suspended),Custom field (System),Custom field (T-Shirt sized estimation),Custom field (TMS location/division affected),Custom field (Target end),Custom field (Target end),Custom field (Target start),Custom field (Target start),Custom field (Team),Custom field (Test Case URL),Custom field (Test Run URL),Custom field (Test Set URL),Custom field (Testing and Validation),Custom field (Time Criticality (WSJF)),Custom field (Time Criticality explanation),Custom field (Timeline),Custom field (Timer),Custom field (Topic),Custom field (Total Booking Volume p.a.),Custom field (Total Contract Value),Custom field (Total Expense Volume p.a.),Custom field (Total points incl. OOM),Custom field (Travel Dev Findings),Custom field (Travel Maintenance Findings),Custom field (Travel QA Findings),Custom field (Travel QA Responsible),Custom field (Travel cSOL Findings),Custom field (Travel pDef Findings),Custom field (Type of Expense Delivery Task),Custom field (Type of Request),Custom field (Type of Script),Custom field (URL),Custom field (UX Analyst),Custom field (UX Guidelines),Custom field (UX Instructions),Custom field (UX Researcher),Custom field (UX Size),Custom field (UX Visual Designer),Custom field (UX Writer),Custom field (UXR Deliverables),Custom field (UXR Personas),Custom field (UXW RTM Code),Custom field (User Name (test system)),Custom field (User-business Value (WSJF)),Custom field (User-business Value explanation),Custom field (Validation),Custom field (What can be done to avoid it in future?),Custom field (What happened?),Custom field (When did it happen?),Custom field (When was it solved?),Custom field (Which customers are affected?),Custom field (arctic Dev Findings),Custom field (arctic QA Findings),Custom field (cytric Stability Findings)
Review,CI-10239939,472135,472134,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,ahrycenko,aruizrobles,aruizrobles,15/May/23 1:22 PM,15/May/23 2:01 PM,15/May/23 3:21 PM,15/May/23 2:01 PM,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,3.0,,,,,,,Reviewer,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Adam HRYCENKO,,Review / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Mon May 15 13:22:45 CEST 2023,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Review,,no,,customfield_12801,,,,,,,Hello,,,,"customfield_10305,customfield_10304,customfield_12801,customfield_11314,customfield_14839",CI-8634,,Accept,,,,,,,,,,,,,,,,,No,,,"0|i21qof:",,,,,,,,,,,,,,,,,,,,"description,duedate,customfield_10601,customfield_10304,customfield_10305,customfield_12801,customfield_11314,customfield_10006,customfield_14702,customfield_14839,customfield_13300,customfield_10002",Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7ca99422,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@315b4c10,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@20a2f5db,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@782641ab,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@7e5ef4cd,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Review,CI-10239935,472112,472111,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,fkazmierczak,fkazmierczak,fkazmierczak,15/May/23 12:39 PM,15/May/23 12:39 PM,15/May/23 3:21 PM,15/May/23 12:39 PM,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,3.0,,,,,,,Reviewer,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Filip KAZMIERCZAK,,Review / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Mon May 15 12:39:22 CEST 2023,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Review,,no,,customfield_12801,,,,,,,Hello,,,,"customfield_10305,customfield_10304,customfield_12801,customfield_11314,customfield_14839",CI-8633,,Accept,,,,,,,,,,,,,,,,,No,,,"0|i21qjb:",,,,,,,,,,,,,,,,,,,,"description,duedate,customfield_10601,customfield_10304,customfield_10305,customfield_12801,customfield_11314,customfield_10006,customfield_14702,customfield_14839,customfield_13300,customfield_10002",Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7ca99422,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@315b4c10,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@20a2f5db,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@782641ab,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@fc35abe9,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Import to Test System,CI-10239926,472054,470604,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,pjakubiec,pjakubiec,pjakubiec,15/May/23 10:14 AM,15/May/23 10:14 AM,15/May/23 3:21 PM,15/May/23 10:14 AM,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,5.0,,,,,,,DEV,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Piotr JAKUBIEC,,Import to Test / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Mon May 15 10:14:47 CEST 2023,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Import to Test,,no,,,,,,,,,Hello,,,,,CI-8597,,Pass ,,,,,,,,,,,,,,,,,No,,,"0|i21q6v:",,,,,,,,,,,,,,,,,,,,,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI-7.3,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7ca99422,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@315b4c10,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@20a2f5db,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@782641ab,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@f9e438ab,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Configure,CI-10239925,472053,470604,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,pjakubiec,pjakubiec,pjakubiec,15/May/23 10:14 AM,15/May/23 10:14 AM,15/May/23 3:21 PM,15/May/23 10:14 AM,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,4.0,,,,,,,DEV,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Piotr JAKUBIEC,,Configure / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Mon May 15 10:14:40 CEST 2023,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Configure,,no,,,,,,,,,Hello,,,,customfield_11314,CI-8597,,Import to Test ,,,,,,,,,,,,,,,,,No,,,"0|i21q6n:",,,,,,,,,,,,,,,,,,,,"customfield_11314,customfield_13300,customfield_10002",Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI-7.3,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7ca99422,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@315b4c10,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@20a2f5db,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@782641ab,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@54cc304a,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Import in Production,CI-10239908,472007,470369,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,jtkacz,jtkacz,jtkacz,15/May/23 8:54 AM,15/May/23 1:16 PM,15/May/23 3:21 PM,15/May/23 1:16 PM,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,5.0,,,,,,,DEV,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Jakub TKACZ,,Import in Production / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Mon May 15 08:54:09 CEST 2023,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Import in Production,,no,,,,,,,,,Hello,,,,,CI-8593,,Pass,,,,,,,,,,,,,,,,,No,,,"0|i21pwn:",,,,,,,,,,,,,,,,,,,,,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI-7.3,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7ca99422,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@315b4c10,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@20a2f5db,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@782641ab,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@ddd1ad2f,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Configure,CI-10239907,472006,470369,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,jtkacz,jtkacz,jtkacz,15/May/23 8:54 AM,15/May/23 8:54 AM,15/May/23 3:21 PM,15/May/23 8:54 AM,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,4.0,,,,,,,DEV,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Jakub TKACZ,,Configure / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Mon May 15 08:54:04 CEST 2023,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Configure,,no,,,,,,,,,Hello,,,,customfield_11314,CI-8593,,Import in Production,,,,,,,,,,,,,,,,,No,,,"0|i21pwf:",,,,,,,,,,,,,,,,,,,,"customfield_11314,customfield_13300,customfield_10002",Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI-7.3,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7ca99422,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@315b4c10,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@20a2f5db,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@782641ab,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@ae34a68e,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Import in Production,CI-10239881,471872,466458,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,jtkacz,jtkacz,jtkacz,12/May/23 3:49 PM,15/May/23 8:28 AM,15/May/23 3:21 PM,15/May/23 8:28 AM,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,12.0,,,,,,,DEV,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Jakub TKACZ,,Import in Production / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Fri May 12 15:49:44 CEST 2023,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Import in Production,,no,,,,,,,,,Hello,,,,,CI-8541,,Pass,,,,,,,,,,,,,,,,,No,,,"0|i21p3z:",,,,,,,,,,,,,,,,,,,,,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI-7.2,Codebusters-PI-7.3,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7ca99422,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@315b4c10,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@20a2f5db,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@782641ab,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@a5f73fff,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Import to Test System,CI-10239875,471851,468092,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,ahrycenko,ahrycenko,ahrycenko,12/May/23 3:16 PM,15/May/23 11:06 AM,15/May/23 3:21 PM,15/May/23 11:06 AM,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,";15/May/23 11:06 AM;ahrycenko;71400",,0,71400,,,0,71400,,,,,,5.0,,,,,,,DEV,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Adam HRYCENKO,,Import to Test / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Fri May 12 15:16:47 CEST 2023,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Import to Test,,no,,,,,,,,,Hello,,,,,CI-8567,,Pass,,,,,,,,,,,,,,,,,No,,,"0|i21ozj:",,,,,,,,,,,,,,,,,,,,,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI-7.2,Codebusters-PI-7.3,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7ca99422,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@315b4c10,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@20a2f5db,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@782641ab,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@5a33ae84,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Explain,CI-10239847,471783,465493,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,yutaka,ahrycenko,ahrycenko,12/May/23 1:41 PM,15/May/23 5:58 AM,15/May/23 3:21 PM,15/May/23 5:58 AM,,0,there is no way to test this ticket on bali because export module not working from while,,,,,,,,,,,CI-10239535,,,,5.0,,,,,,,,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,"ok! please deploy it to test location on prod.
We will check it on test location.
Thank you in advance",,,,,,Yutaka YASUMI,,Configure / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Fri May 12 13:41:43 CEST 2023,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@7bd7e266,0,Configure,,no,,customfield_11303,,,,,,,Hello,,,,"versions,components,priority,customfield_10601,customfield_10501,customfield_10305,customfield_10401,customfield_11314,customfield_10105",CI-8508,,Import to Test ,,,,,,,,,,,,,,,,,No,,,"0|i21okf:",,,,,,,,,,,,,,,,,,,,,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI-7.2,Codebusters-PI-7.3,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7ca99422,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@315b4c10,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@20a2f5db,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@782641ab,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@a9892b79,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Communicate,CI-10239525,470747,455636,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,yutaka,ahrycenko,ahrycenko,09/May/23 4:30 PM,15/May/23 10:59 AM,15/May/23 3:21 PM,15/May/23 10:59 AM,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,"Thank you so much!

 ",,,,,,Yutaka YASUMI,,Communicate / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue May 09 16:30:39 CEST 2023,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Communicate,,no,,,,,,,,,Hello,,,,"components,priority,customfield_10604,customfield_10605,customfield_10305,customfield_10304,customfield_11314",CI-8302,,Closed,,,,,,,,,,,,,,,,,No,,,"0|i21ian:",,,,,,,,,,,,,,,,,,,,customfield_11314,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI-6.4,Codebusters-PI-7.1,Codebusters-PI-7.2,Codebusters-PI-7.3,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7ca99422,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@315b4c10,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@20a2f5db,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@782641ab,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@c8af25f6,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
