Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,time_in_review,time_on_codebusters,time_outside_codebusters
CI-8485,464979,Closed,yutaka,2023-04-14 02:51:00,21/Apr/23 12:00 AM,2023-04-17 11:31:00,Enercon,Service Request (SR),464979.0,8.000000000000002,107.0,4733.0
CI-8453,463947,Closed,ssanz,2023-04-10 12:13:00,14/Apr/23 12:00 AM,2023-04-11 16:22:00,Allianz,Service Request (SR),463947.0,1689.0,1689.0,0.0
CI-8436,463438,Closed,yutaka,2023-04-06 05:26:00,20/Apr/23 12:00 AM,2023-04-06 14:02:00,Endress Hauser,Service Request (SR),463438.0,515.0000000000001,515.0000000000001,503.00000000000006
CI-8434,463294,Closed,aruizrobles,2023-04-05 17:43:00,12/Apr/23 12:00 AM,2023-04-12 14:31:00,Numiga,Service Request (SR),463294.0,1230.0,4030.0000000000005,5858.0
CI-8427,462869,Closed,aruizrobles,2023-04-04 17:02:00,11/Apr/23 12:00 AM,2023-04-12 14:10:00,Numiga,Service Request (SR),462869.0,2639.0,5611.0,5737.0
CI-8423,462678,Closed,nsanchez,2023-04-04 10:51:00,10/Apr/23 12:00 AM,2023-04-10 10:48:00,Allianz,Service Request (SR),462678.0,2769.0,3160.0,5477.0
CI-8422,462576,Closed,yutaka,2023-04-04 06:07:00,11/Apr/23 12:00 AM,2023-04-17 08:24:00,Eberspacher,Service Request (SR),462576.0,198.0,1481.0,17376.000000000004
CI-8414,462273,Closed,yutaka,2023-04-03 01:55:00,10/Apr/23 12:00 AM,2023-04-05 09:29:00,CEPSA,Service Request (SR),462273.0,540.0000000000001,3099.0,235.0
CI-8413,462270,Closed,yutaka,2023-04-03 01:43:00,07/Apr/23 12:00 AM,2023-04-05 09:22:00,Grupo Red Electrica,Service Request (SR),462270.0,0.0,3113.0,226.0
CI-8397,461658,Closed,nsanchez,2023-03-30 12:16:00,06/Apr/23 12:00 AM,2023-04-10 09:05:00,VW,Service Request (SR),461658.0,8823.0,10140.0,5509.0
CI-8394,461596,Closed,ssanz,2023-03-30 10:09:00,06/Apr/23 12:00 AM,2023-04-01 15:03:00,Eberspacher,Service Request (SR),461596.0,1438.0,1482.0,1692.0
CI-8393,461436,Closed,nsanchez,2023-03-29 16:34:00,03/Apr/23 12:00 AM,2023-03-30 10:15:00,Daimler (MFTBC),Service Request (SR),461436.0,20.0,1055.0000000000002,6.0
CI-8386,461366,Closed,nsanchez,2023-03-29 14:40:00,10/Apr/23 12:00 AM,2023-04-10 08:45:00,VW,Service Request (SR),461366.0,10080.0,11259.0,5666.0
CI-8375,460883,Closed,mmaciejczyk,2023-03-28 12:22:00,04/Apr/23 12:00 AM,2023-04-05 17:23:00,Spiegel,Service Request (SR),460883.0,8863.0,9110.0,2711.0
CI-8373,460496,Closed,nsanchez,2023-03-27 15:13:00,03/Apr/23 12:00 AM,2023-04-10 08:40:00,Osram,Service Request (SR),460496.0,12909.0,14228.0,5539.0
CI-8370,459864,Closed,ssanz,2023-03-24 16:23:00,31/Mar/23 12:00 AM,2023-04-05 13:04:00,Allianz,Service Request (SR),459864.0,9810.0,12978.0,4103.000000000001
