Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,time_in_review,time_on_codebusters,time_outside_codebusters
CI-8485,464979,Closed,yutaka,2023-04-14 02:51:00,21/Apr/23 12:00 AM,2023-04-17 11:31:00,Enercon,Service Request (SR),464979.0,8.000000000000002,107.0,4733.0
CI-8458,464220,Closed,ssanz,2023-04-11 14:18:00,12/Apr/23 12:00 AM,2023-04-14 09:34:00,TUI AG,Incident Request (IR),464220.0,77.0,3920.0000000000005,116.0
CI-8453,463947,Closed,ssanz,2023-04-10 12:13:00,14/Apr/23 12:00 AM,2023-04-11 16:22:00,Allianz,Service Request (SR),463947.0,1689.0,1689.0,0.0
CI-8452,463886,Closed,kgostynska,2023-04-07 15:59:00,11/Apr/23 12:00 AM,2023-04-12 15:17:00,Porsche,Incident Request (IR),463886.0,5742.0,5890.0,1268.0
CI-8451,463867,Closed,gangelova,2023-04-07 15:01:00,21/Apr/23 12:00 AM,2023-04-07 16:21:00,Expense Development,Service Request (SR),463867.0,28.0,80.0,0.0
CI-8436,463438,Closed,yutaka,2023-04-06 05:26:00,20/Apr/23 12:00 AM,2023-04-06 14:02:00,Endress Hauser,Service Request (SR),463438.0,515.0000000000001,515.0000000000001,503.00000000000006
CI-8435,463434,Closed,yutaka,2023-04-06 02:49:00,13/Apr/23 12:00 AM,2023-04-06 10:10:00,Init AG,Incident Request (IR),463434.0,360.0,360.0,81.0
CI-8434,463294,Closed,aruizrobles,2023-04-05 17:43:00,12/Apr/23 12:00 AM,2023-04-12 14:31:00,Numiga,Service Request (SR),463294.0,1230.0,4030.0000000000005,5858.0
CI-8427,462869,Closed,aruizrobles,2023-04-04 17:02:00,11/Apr/23 12:00 AM,2023-04-12 14:10:00,Numiga,Service Request (SR),462869.0,2639.0,5611.0,5737.0
CI-8425,462813,Closed,nsanchez,2023-04-04 14:58:00,10/Apr/23 12:00 AM,2023-04-05 11:57:00,Amadeus,Incident Request (IR),462813.0,13.0,1252.0,7.0
CI-8425,462813,Closed,nsanchez,2023-04-04 14:58:00,10/Apr/23 12:00 AM,2023-04-05 11:57:00,Amadeus,Incident Request (IR),462813.0,1239.0,1252.0,7.0
CI-8424,462772,Closed,kgostynska,2023-04-04 13:25:00,11/Apr/23 12:00 AM,2023-04-05 13:23:00,Amadeus,Incident Request (IR),462772.0,1334.0,1334.0,104.0
CI-8423,462678,Closed,nsanchez,2023-04-04 10:51:00,10/Apr/23 12:00 AM,2023-04-10 10:48:00,Allianz,Service Request (SR),462678.0,2769.0,3160.0,5477.0
CI-8422,462576,Closed,yutaka,2023-04-04 06:07:00,11/Apr/23 12:00 AM,2023-04-17 08:24:00,Eberspacher,Service Request (SR),462576.0,198.0,1481.0,17376.000000000004
CI-8419,462420,Closed,aruizrobles,2023-04-03 12:50:00,05/Apr/23 12:00 AM,2023-04-12 14:00:00,TM Con,Service Request (SR),462420.0,8454.000000000002,12774.0,256.00000000000006
CI-8419,462420,Closed,aruizrobles,2023-04-03 12:50:00,05/Apr/23 12:00 AM,2023-04-12 14:00:00,TM Con,Service Request (SR),462420.0,2957.0,12774.0,256.00000000000006
CI-8415,462306,Closed,nsanchez,2023-04-03 08:40:00,04/Apr/23 12:00 AM,2023-04-06 16:20:00,Luther,Incident Request (IR),462306.0,2993.0,4089.0000000000005,691.0
CI-8414,462273,Closed,yutaka,2023-04-03 01:55:00,10/Apr/23 12:00 AM,2023-04-05 09:29:00,CEPSA,Service Request (SR),462273.0,540.0000000000001,3099.0,235.0
CI-8413,462270,Closed,yutaka,2023-04-03 01:43:00,07/Apr/23 12:00 AM,2023-04-05 09:22:00,Grupo Red Electrica,Service Request (SR),462270.0,0.0,3113.0,226.0
