Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Due Date,Votes,Description,Environment,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Custom field (ART Sync Notes),Custom field (About),Custom field (Acceptance Criteria),Custom field (Activity),Custom field (Actual Business Value),Custom field (Actual Iteration),Custom field (Actual downtime),Custom field (Additional Information),Custom field (AeTM Migration Wave),Custom field (Assign Decision To),Custom field (Assignee Role),Custom field (Attached file with changes),Custom field (Automatic Transition),Custom field (Benefit Hypothesis),Custom field (Business Assumptions),Custom field (Business Case),Custom field (Business Justification),Custom field (Business need sign off criteria),Custom field (Case Creation Date),Custom field (Case Creation Date/Time),Custom field (Case Number/s),Custom field (Category of problem),Custom field (Client status),Custom field (Code Review Report),Custom field (Commercial impact),Custom field (Commitment Level),Custom field (Committed revenues p.a.),Custom field (Competitive information),Custom field (Complexity),Custom field (Configure),Custom field (Construct),Custom field (Construct),Custom field (Cost/risk points),Custom field (Current Situation),Custom field (Customer Points),Custom field (Customer complexity),Custom field (Customer priority),Custom field (Customer/s),Custom field (DB Change included),Custom field (DT Number/s),Custom field (Date of First Response [CHART]),Custom field (Deadline SOR),Custom field (Decision),Custom field (Delivery Service Designer),Custom field (Description of potential side effects),Custom field (Design),Custom field (Developer),Custom field (EMS Database Version/s),Custom field (Effective Assignee),Custom field (Effective Resolution),Custom field (Effective Status),Custom field (Environment types),Custom field (Epic Link),Custom field (Escalation contact),Custom field (Executive Summary),Custom field (Expected Behavior),Custom field (Expected downtime),Custom field (Expense Database Version/s),Custom field (Expense pDef Findings),Custom field (External Expert),Custom field (Fallback procedure),Custom field (Feature Validation),Custom field (Feature Validation Result),Custom field (Feature Validation Test Set URL),Custom field (Findings),Custom field (Fix),Custom field (Fix Priority),Custom field (General Information),Custom field (Help Role),Custom field (How was it solved?),Custom field (ITO Findings),Custom field (ITS Team Assigned),Custom field (Impact on booking volume),Custom field (Impacting customer implementation/rollout),Custom field (Implementation deadline),Custom field (Implementation phase),Custom field (Incident date/time),Custom field (Include in GFTP),Custom field (Initial Request Date by Customer),Custom field (Initially Created),Custom field (Installation Instructions),Custom field (Interest),Custom field (Investigating Methods),Custom field (Is planned),Custom field (Issue Links Overview),Custom field (Job Size (WSJF)),Custom field (Join),Custom field (MDs spend),Custom field (Maintenance DT),Custom field (Mandate points),Custom field (Mandatory),Custom field (Meeting Notes),Custom field (Memory),Custom field (Mobile Findings),Custom field (Notes),Custom field (OLD Agile Release Train (ART)),Custom field (Original story points),Custom field (PCI-DSS Reviews),Custom field (PCI-DSS related),Custom field (PDef Transition),Custom field (PSD document),Custom field (Parameter/s),Custom field (Parent Key),Custom field (Parent Link),Custom field (Parent Transition),Custom field (Password (test system)),Custom field (Performance risk),Custom field (Personal Notes),Custom field (Planned Business Value),Custom field (Planned Iteration),Custom field (Prefix),Custom field (Prio Ranking),Custom field (ProdDef Size),Custom field (Product Definition),Custom field (Product Value),Custom field (Product value points),Custom field (Project Manager),Custom field (Proposed Corrective Actions),Custom field (Proposed Solution),Custom field (Proposed suggestion),Custom field (Public bug information),Custom field (QA Size),Custom field (Quality Assurance),Custom field (Rank),Custom field (Reason to Reopen),Custom field (Reason to Suspend),Custom field (Regression Test Case URL),Custom field (Rejection reason),Custom field (Release Date),Custom field (Release Management Findings),Custom field (Release Note Required),Custom field (Release Notes),Custom field (Release Project Management Findings),Custom field (Reported Date),Custom field (Request),Custom field (Request Type),Custom field (Requested For Quarter),Custom field (Required Skill Level),Custom field (Resources),Custom field (Responsive Design),Custom field (Restart Category),Custom field (Restart Type),Custom field (Result/s),Custom field (Retention or Growth (WSJF)),Custom field (Review Date),Custom field (Risk Assessment),Custom field (Risk Assessment Description),Custom field (Risk Reduction/Opportunity (WSJF)),Custom field (Risk Reduction/Opportunity explanation),Custom field (Risks),Custom field (Root Cause),Custom field (SAFe Epic Type),Custom field (SAFe Feature Type),Custom field (SOR document),Custom field (Security/PCI Compliance Decision),Custom field (Server : System : Location : Division),Custom field (Session),Custom field (Severity),Custom field (Showstopper (WSJF)),Custom field (Showstopper explanation),Custom field (Size),Custom field (Slot time frame),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Strategic customer),Custom field (Strategic customer points),Custom field (Subtask Overview),Custom field (Support from FT),Custom field (Support task assignee),Custom field (Suspended),Custom field (System),Custom field (T-Shirt sized estimation),Custom field (TMS location/division affected),Custom field (Target end),Custom field (Target end),Custom field (Target start),Custom field (Target start),Custom field (Team),Custom field (Test Case URL),Custom field (Test Run URL),Custom field (Test Set URL),Custom field (Testing and Validation),Custom field (Time Criticality (WSJF)),Custom field (Time Criticality explanation),Custom field (Timeline),Custom field (Timer),Custom field (Topic),Custom field (Total Booking Volume p.a.),Custom field (Total Contract Value),Custom field (Total Expense Volume p.a.),Custom field (Total points incl. OOM),Custom field (Travel Dev Findings),Custom field (Travel Maintenance Findings),Custom field (Travel QA Findings),Custom field (Travel QA Responsible),Custom field (Travel cSOL Findings),Custom field (Travel pDef Findings),Custom field (Type of Expense Delivery Task),Custom field (Type of Request),Custom field (Type of Script),Custom field (URL),Custom field (UX Analyst),Custom field (UX Guidelines),Custom field (UX Instructions),Custom field (UX Researcher),Custom field (UX Size),Custom field (UX Visual Designer),Custom field (UX Writer),Custom field (UXR Deliverables),Custom field (UXR Personas),Custom field (UXW RTM Code),Custom field (User Name (test system)),Custom field (User-business Value (WSJF)),Custom field (User-business Value explanation),Custom field (Validation),Custom field (What can be done to avoid it in future?),Custom field (What happened?),Custom field (When did it happen?),Custom field (When was it solved?),Custom field (Which customers are affected?),Custom field (arctic Dev Findings),Custom field (arctic QA Findings),Custom field (cytric Stability Findings),Comment,Comment
Review,CI-10222807,411333,411332,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,dykiert,skarja,skarja,30/Aug/22 11:01 PM,13/Sep/22 2:59 PM,10/Mar/23 8:33 AM,13/Sep/22 2:59 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,,3.0,,,,,,,Reviewer,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,,Dominik DYKIERT,,Review / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue Aug 30 23:01:17 CEST 2022,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Review,,no,,customfield_12801,,,,,,,Hello,,,,"customfield_10305,customfield_10304,customfield_12801,customfield_11314,customfield_14839",CI-7366,,Accept,,,,,,,,,,,,,,,,No,,,"0|i1rp8f:",,,,,,,,,,,,,,,,,,,"description,duedate,customfield_10601,customfield_10304,customfield_10305,customfield_12801,customfield_11314,customfield_10006,customfield_14702,customfield_14839,customfield_13300,customfield_10002",Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,Codebusters-PI5.2,Codebusters-PI5.3,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1cc4b9a2,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2ae8bec0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@268b9dc5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@5d21f1ad,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64914a02,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@ddf1666b,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Review,CI-10222806,411331,411330,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,dykiert,skarja,skarja,30/Aug/22 9:48 PM,01/Sep/22 9:59 AM,10/Mar/23 8:33 AM,01/Sep/22 9:59 AM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,,3.0,,,,,,,Reviewer,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,,Dominik DYKIERT,,Review / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue Aug 30 21:48:44 CEST 2022,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Review,,no,,customfield_12801,,,,,,,Hello,,,,"customfield_10305,customfield_10304,customfield_12801,customfield_11314,customfield_14839",CI-7365,,Accept,,,,,,,,,,,,,,,,No,,,"0|i1rp7z:",,,,,,,,,,,,,,,,,,,"description,duedate,customfield_10601,customfield_10304,customfield_10305,customfield_12801,customfield_11314,customfield_10006,customfield_14702,customfield_14839,customfield_13300,customfield_10002",Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,Codebusters-PI5.2,Codebusters-PI5.4,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1cc4b9a2,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2ae8bec0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@268b9dc5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@5d21f1ad,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64914a02,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@dce7b6ca,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Communicate,CI-10222804,411319,410928,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,mkuchciak,mkuchciak,mkuchciak,30/Aug/22 4:20 PM,30/Aug/22 4:20 PM,10/Mar/23 8:33 AM,30/Aug/22 4:20 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,,Maciej KUCHCIAK,,Communicate / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue Aug 30 16:20:44 CEST 2022,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Communicate,,no,,,,,,,,,Hello,,,,"components,priority,customfield_10604,customfield_10605,customfield_10305,customfield_10304,customfield_11314",CI-7358,,Closed,,,,,,,,,,,,,,,,No,,,"0|i1rp5b:",,,,,,,,,,,,,,,,,,,customfield_11314,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI4.5,,,,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1cc4b9a2,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2ae8bec0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@268b9dc5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@5d21f1ad,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64914a02,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@72cc87b8,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Import in Production,CI-10222803,411318,410928,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,mkuchciak,mkuchciak,mkuchciak,30/Aug/22 4:20 PM,30/Aug/22 4:20 PM,10/Mar/23 8:33 AM,30/Aug/22 4:20 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,,7.0,,,,,,,DEV,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,,Maciej KUCHCIAK,,Import in Production / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue Aug 30 16:20:39 CEST 2022,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Import in Production,,no,,,,,,,,,Hello,,,,,CI-7358,,Pass,,,,,,,,,,,,,,,,No,,,"0|i1rp53:",,,,,,,,,,,,,,,,,,,,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI4.5,,,,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1cc4b9a2,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2ae8bec0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@268b9dc5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@5d21f1ad,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64914a02,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@dbaab717,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Verify,CI-10222802,411317,410928,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,mkuchciak,mkuchciak,mkuchciak,30/Aug/22 4:20 PM,30/Aug/22 4:20 PM,10/Mar/23 8:33 AM,30/Aug/22 4:20 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,,Maciej KUCHCIAK,,Verify / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue Aug 30 16:20:35 CEST 2022,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Verify,,no,,,,,,,,,Hello,,,,"customfield_10305,customfield_10304,customfield_11314",CI-7358,,Pass,,,,,,,,,,,,,,,,No,,,"0|i1rp4v:",,,,,,,,,,,,,,,,,,,customfield_11314,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI4.5,,,,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1cc4b9a2,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2ae8bec0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@268b9dc5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@5d21f1ad,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64914a02,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@ed8a3496,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Configure,CI-10222801,411312,411080,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,mkuchciak,mkuchciak,mkuchciak,30/Aug/22 4:14 PM,31/Aug/22 2:46 PM,10/Mar/23 8:33 AM,31/Aug/22 2:46 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,,4.0,,,,,,,DEV,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,,Maciej KUCHCIAK,,Configure / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue Aug 30 16:14:06 CEST 2022,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Configure,,no,,,,,,,,,Hello,,,,customfield_11314,CI-7363,,Import to Test ,,,,,,,,,,,,,,,,No,,,"0|i1rp3r:",,,,,,,,,,,,,,,,,,,"customfield_11314,customfield_13300,customfield_10002",Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI4.5,,,,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1cc4b9a2,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2ae8bec0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@268b9dc5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@5d21f1ad,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64914a02,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@abf5fdb5,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Import to Test System,CI-10222800,411311,410928,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,mkuchciak,mkuchciak,mkuchciak,30/Aug/22 4:13 PM,30/Aug/22 4:20 PM,10/Mar/23 8:33 AM,30/Aug/22 4:20 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,,5.0,,,,,,,DEV,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,,Maciej KUCHCIAK,,Import to Test / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue Aug 30 16:13:20 CEST 2022,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Import to Test,,no,,,,,,,,,Hello,,,,,CI-7358,,Pass ,,,,,,,,,,,,,,,,No,,,"0|i1rp3j:",,,,,,,,,,,,,,,,,,,,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI4.5,,,,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1cc4b9a2,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2ae8bec0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@268b9dc5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@5d21f1ad,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64914a02,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@510ace34,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Verify,CI-10222798,411306,405539,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,shimizu,pjakubiec,pjakubiec,30/Aug/22 4:01 PM,01/Sep/22 10:25 AM,10/Mar/23 8:33 AM,01/Sep/22 10:25 AM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,,Ritsuko SHIMIZU,,Verify / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue Aug 30 16:01:48 CEST 2022,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Verify,,no,,,,,,,,,Hello,,,,"customfield_10305,customfield_10304,customfield_11314",CI-7186,,Fail,,,,,,,,,,,,,,,,No,,,"0|i1rp2f:",,,,,,,,,,,,,,,,,,,customfield_11314,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI4.4,Codebusters-PI4.5,,,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1cc4b9a2,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2ae8bec0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@268b9dc5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@5d21f1ad,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64914a02,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@25e5b372,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Import to Test System,CI-10222797,411304,405539,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,pjakubiec,pjakubiec,pjakubiec,30/Aug/22 4:01 PM,30/Aug/22 4:01 PM,10/Mar/23 8:33 AM,30/Aug/22 4:01 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,,5.0,,,,,,,DEV,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,,Piotr JAKUBIEC,,Import to Test / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue Aug 30 16:01:39 CEST 2022,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Import to Test,,no,,,,,,,,,Hello,,,,,CI-7186,,Pass,,,,,,,,,,,,,,,,No,,,"0|i1rp1z:",,,,,,,,,,,,,,,,,,,,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI4.4,Codebusters-PI4.5,,,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1cc4b9a2,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2ae8bec0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@268b9dc5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@5d21f1ad,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64914a02,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@3c264791,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Configure,CI-10222796,411303,405539,Individual Task,Done,CI,codebusters,software,rohkamm,,,,Done,pjakubiec,pjakubiec,pjakubiec,30/Aug/22 4:01 PM,30/Aug/22 4:01 PM,10/Mar/23 8:33 AM,30/Aug/22 4:01 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,,,4.0,,,,,,,DEV,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,,Piotr JAKUBIEC,,Configure / Done,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue Aug 30 16:01:29 CEST 2022,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Configure,,no,,,,,,,,,Hello,,,,customfield_11314,CI-7186,,Import to Test ,,,,,,,,,,,,,,,,No,,,"0|i1rp1r:",,,,,,,,,,,,,,,,,,,"customfield_11314,customfield_13300,customfield_10002",Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI4.4,Codebusters-PI4.5,,,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1cc4b9a2,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2ae8bec0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@268b9dc5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@5d21f1ad,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64914a02,,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@970e2010,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
