Issue key,Issue id,Status,Reporter,Created_x,Due Date,Resolved,Customer,Type of Request,time_on_codebusters,time_outside_codebusters,comminicate_created
CI-6203,360637,Closed,nsanchez,2022-01-04 08:33:00,10/Jan/22 12:00 AM,2022-01-05 09:36:00,Egis,Incident Request (IR),1480.0,23.0,2022-01-05 09:13:00
CI-6206,360759,Closed,gangelova,2022-01-04 13:43:00,07/Jan/22 12:00 AM,2022-01-05 09:47:00,Expense Development,Service Request (SR),1204.0,0.0,2022-01-05 09:47:00
CI-6216,360851,Closed,ngraf,2022-01-04 23:06:00,06/Jan/22 12:00 AM,2022-01-05 10:20:00,Numiga,Incident Request (IR),656.0,18.0,2022-01-05 10:20:00
CI-6218,360869,Closed,yutaka,2022-01-05 06:30:00,14/Jan/22 12:00 AM,2022-01-07 00:49:00,Luther,Incident Request (IR),463.0,2076.0000000000005,2022-01-05 14:13:00
CI-6217,360859,Closed,yutaka,2022-01-05 03:04:00,07/Jan/22 12:00 AM,2022-01-07 10:48:00,Grupo Red Electrica,Service Request (SR),4679.0,0.0,2022-01-07 10:48:00
CI-6219,360940,Closed,yutaka,2022-01-05 10:27:00,14/Jan/22 12:00 AM,2022-01-07 11:03:00,Endress Hauser,Service Request (SR),1008.0000000000001,1976.0000000000002,2022-01-06 02:07:00
CI-6227,361502,Closed,nsanchez,2022-01-07 11:55:00,07/Jan/22 12:00 AM,2022-01-07 15:01:00,Numiga,Incident Request (IR),163.0,23.0,2022-01-07 14:38:00
CI-6223,361309,Closed,vvaleyre,2022-01-06 11:34:00,07/Jan/22 12:00 AM,2022-01-11 16:11:00,Continental,Service Request (SR),7207.0,270.00000000000006,2022-01-11 11:41:00
CI-6196,360541,Closed,aruizrobles,2022-01-03 11:09:00,10/Jan/22 12:00 AM,2022-01-12 13:05:00,Numiga,Service Request (SR),4906.0,8170.000000000001,2022-01-11 13:30:00
CI-6259,362118,Closed,hilbich,2022-01-12 08:12:00,19/Jan/22 12:00 AM,2022-01-12 14:10:00,Cleverbridge,Incident Request (IR),327.0,31.000000000000004,2022-01-12 13:39:00
CI-6220,361016,Closed,aruizrobles,2022-01-05 13:49:00,10/Jan/22 12:00 AM,2022-01-13 09:57:00,Numiga,Service Request (SR),11245.0,43.0,2022-01-13 09:14:00
CI-6226,361490,Closed,nsanchez,2022-01-07 10:56:00,13/Jan/22 12:00 AM,2022-01-13 15:06:00,Endress Hauser,Service Request (SR),7513.0,1377.0,2022-01-13 08:36:00
CI-6264,362395,Closed,yutaka,2022-01-13 08:18:00,21/Jan/22 12:00 AM,2022-01-14 08:30:00,Ineos,Service Request (SR),44.0,1408.0,2022-01-13 09:38:00
