,index,Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,ticket_age,Parent id,time_outside_codebusters,time_on_codebusters,time_in_review
0,0,CI-9085,493500,Closed,askarja,2023-08-10 16:53:00,15/Aug/23 12:00 AM,2023-08-14 16:32:00,Porsche,Incident Request (IR),5739.0,493500,4749.0,990.0,990.0
1,1,CI-9084,493498,Closed,mmaciejczyk,2023-08-10 16:47:00,17/Aug/23 12:00 AM,2023-08-11 11:14:00,Amadeus,Incident Request (IR),1107.0,493498,0.0,1107.0,1106.0
2,2,CI-9082,493232,Closed,ssanz,2023-08-09 15:45:00,09/Aug/23 12:00 AM,2023-08-10 13:19:00,TotalEnergies,Incident Request (IR),1294.0,493232,222.0,1072.0,95.0
3,3,CI-9079,493136,Closed,ssanz,2023-08-09 12:23:00,11/Aug/23 12:00 AM,2023-08-10 16:08:00,Allianz,Incident Request (IR),1665.0,493136,79.0,1586.0,72.0
4,4,CI-9061,492388,Closed,nsanchezruiz,2023-08-04 13:44:00,09/Aug/23 12:00 AM,2023-08-07 13:51:00,Porsche,Incident Request (IR),4327.0,492388,23.0,4304.0,4264.0
5,5,CI-9059,492177,Closed,yutaka.yasumi,2023-08-04 05:02:00,14/Aug/23 12:00 AM,2023-08-10 08:33:00,MFTBC,Incident Request (IR),8851.0,492177,4181.0,4670.0,230.0
6,6,CI-9054,492081,Closed,mmaciejczyk,2023-08-03 13:35:00,04/Aug/23 12:00 AM,2023-08-04 16:01:00,Allianz,Incident Request (IR),1586.0,492081,55.0,1529.0,1127.0
7,7,CI-9024,490537,Closed,kgostynska,2023-07-27 16:12:00,03/Aug/23 12:00 AM,2023-08-11 09:00:00,Rheinmetall,Incident Request (IR),21168.0,490537,20145.0,1023.0,999.0
8,8,CI-9009,490026,Closed,mmaciejczyk,2023-07-25 16:26:00,01/Aug/23 12:00 AM,2023-08-14 13:37:00,Porsche,Incident Request (IR),28631.0,490026,139.0,28492.0,2980.0
9,9,CI-9008,489987,Closed,ssanz,2023-07-25 15:27:00,01/Aug/23 12:00 AM,2023-08-17 12:46:00,Apleona,Incident Request (IR),32959.0,489987,31359.0,1600.0,1111.0
10,10,CI-9006,489967,Closed,nsanchezruiz,2023-07-25 14:56:00,26/Jul/23 12:00 AM,2023-08-04 08:58:00,Hugo Boss,Incident Request (IR),14042.0,489967,12284.0,1758.0,229.0
11,11,CI-8995,489495,Closed,ssanz,2023-07-24 08:52:00,26/Jul/23 12:00 AM,2023-07-24 12:36:00,Endress Hauser,Incident Request (IR),224.0,489495,33.0,191.0,191.0
12,12,CI-8974,488267,Closed,nsanchezruiz,2023-07-17 13:48:00,19/Jul/23 12:00 AM,2023-07-25 09:24:00,OBB,Incident Request (IR),11256.0,488267,2174.0,9081.0,1847.0
13,13,CI-8967,487857,Closed,yutaka.yasumi,2023-07-14 04:38:00,17/Jul/23 12:00 AM,2023-07-17 09:08:00,Amadeus,Incident Request (IR),4590.0,487857,5.0,4585.0,389.0
14,14,CI-8939,485970,Closed,mmaciejczyk,2023-07-06 15:30:00,13/Jul/23 12:00 AM,2023-07-27 15:59:00,Rheinmetall,Incident Request (IR),30269.0,485970,23255.0,7014.0,6952.0
15,16,CI-8866,483461,Closed,yutaka.yasumi,2023-06-26 02:15:00,28/Jun/23 12:00 AM,2023-07-12 04:52:00,TotalEnergies,Incident Request (IR),23197.0,483461,61.0,607.0,588.0
16,17,CI-8865,483425,Closed,ssanz,2023-06-23 16:46:00,30/Jun/23 12:00 AM,2023-07-25 15:22:00,Apleona,Incident Request (IR),45996.0,483425,14113.0,14338.0,14261.0
17,18,CI-8817,481961,Closed,ssanz,2023-06-19 15:44:00,26/Jun/23 12:00 AM,2023-06-23 18:42:00,Allianz,Incident Request (IR),5938.0,481961,4600.0,1338.0,1198.0
18,19,CI-8799,480036,Closed,ssanz,2023-06-14 12:21:00,15/Jun/23 12:00 AM,2023-06-23 18:51:00,TotalEnergies,Incident Request (IR),13350.0,480036,9235.0,4115.0,2897.0
19,20,CI-8796,479834,Closed,ssanz,2023-06-13 17:47:00,14/Jun/23 12:00 AM,2023-06-13 18:11:00,TotalEnergies,Incident Request (IR),24.0,479834,21.0,3.0,3.0
20,21,CI-8795,479716,Closed,nsanchezruiz,2023-06-13 13:21:00,20/Jun/23 12:00 AM,2023-06-20 13:38:00,Apleona,Incident Request (IR),10097.0,479716,1232.0,8865.0,4275.0
21,22,CI-8744,477446,Closed,yutaka.yasumi,2023-06-07 05:56:00,12/Jun/23 12:00 AM,2023-06-15 12:04:00,Rewe Group,Incident Request (IR),11888.0,477446,298.0,11590.0,1763.0
22,23,CI-8740,477149,Closed,nsanchezruiz,2023-06-06 11:08:00,13/Jun/23 12:00 AM,2023-07-05 21:06:00,OBB,Incident Request (IR),42358.0,477149,24481.0,8737.0,8627.0
23,24,CI-8704,475894,Closed,ssanz,2023-05-31 19:07:00,01/Jun/23 12:00 AM,2023-06-01 12:29:00,Eutelsat,Incident Request (IR),1042.0,475894,100.0,942.0,942.0
24,25,CI-8693,475399,Closed,nsanchezruiz,2023-05-30 14:40:00,31/May/23 12:00 AM,2023-06-02 14:22:00,VW,Incident Request (IR),4302.0,475399,1706.0,2611.0,1160.0
25,26,CI-8686,475022,Closed,ssanz,2023-05-29 11:48:00,31/May/23 12:00 AM,2023-06-16 13:19:00,Allianz,Incident Request (IR),26011.0,475022,12176.0,13835.0,1404.0
26,27,CI-8684,474658,Closed,yutaka.yasumi,2023-05-26 10:18:00,31/May/23 12:00 AM,2023-06-02 06:40:00,Continental,Incident Request (IR),9862.0,474658,1325.0,8537.0,264.0
27,28,CI-8675,474100,Closed,ssanz,2023-05-23 16:19:00,30/May/23 12:00 AM,2023-05-25 14:41:00,Eutelsat,Incident Request (IR),2782.0,474100,1331.0,1451.0,1420.0
28,29,CI-8657,473300,Closed,nsanchezruiz,2023-05-19 08:55:00,24/May/23 12:00 AM,2023-05-24 12:31:00,ProcurX,Incident Request (IR),7416.0,473300,54.0,7362.0,1586.0
29,30,CI-8632,471970,Closed,yutaka.yasumi,2023-05-15 02:03:00,19/May/23 12:00 AM,2023-08-11 09:32:00,Hugo Boss,Incident Request (IR),127169.0,471970,11704.0,5495.0,5495.0
30,31,CI-8604,471086,Closed,pwenner,2023-05-10 14:57:00,10/May/23 12:00 AM,2023-05-12 10:02:00,Hugo Boss,Incident Request (IR),2585.0,471086,2423.0,162.0,14.0
31,32,CI-8590,470321,Closed,ssanz,2023-05-08 15:17:00,11/May/23 12:00 AM,2023-05-17 18:15:00,Customer not yet listed,Incident Request (IR),13138.0,470321,3211.0,9927.0,1091.0
32,33,CI-8582,469474,Closed,ssanz,2023-05-03 14:52:00,08/May/23 12:00 AM,2023-05-05 16:37:00,Allianz,Incident Request (IR),2985.0,469474,1405.0,1580.0,1539.0
33,34,CI-8580,469376,Closed,ssanz,2023-05-03 10:20:00,05/May/23 12:00 AM,2023-05-05 16:27:00,Allianz,Incident Request (IR),3247.0,469376,1346.0,1901.0,1811.0
34,35,CI-8578,468781,Closed,yutaka.yasumi,2023-04-28 11:54:00,05/May/23 12:00 AM,2023-05-16 11:15:00,Amadeus,Incident Request (IR),25881.0,468781,5819.0,20062.0,14601.0
35,36,CI-8558,467585,Closed,yutaka.yasumi,2023-04-25 08:10:00,28/Apr/23 12:00 AM,2023-05-25 09:24:00,Spiegel,Incident Request (IR),43274.0,467585,20296.0,22978.0,14356.0
36,37,CI-8557,467471,Closed,ssanz,2023-04-24 15:31:00,28/Apr/23 12:00 AM,2023-05-18 12:16:00,Allianz,Incident Request (IR),34365.0,467471,3584.0,30781.0,14048.0
37,38,CI-8518,465773,Closed,yutaka.yasumi,2023-04-18 12:32:00,21/Apr/23 12:00 AM,2023-05-15 05:54:00,Continental,Incident Request (IR),38482.0,465773,28528.0,9954.0,4407.0
38,39,CI-8507,465491,Closed,yutaka.yasumi,2023-04-18 01:18:00,24/Apr/23 12:00 AM,2023-05-23 01:16:00,Endress Hauser,Incident Request (IR),50398.0,465491,15460.0,34938.0,22076.0
39,40,CI-8477,464753,Closed,yutaka.yasumi,2023-04-13 12:30:00,20/Apr/23 12:00 AM,2023-05-08 02:14:00,Lufthansa City Center,Incident Request (IR),35384.0,464753,26830.0,8554.0,8553.0
40,41,CI-8471,464652,Closed,nsanchezruiz,2023-04-13 09:35:00,19/Apr/23 12:00 AM,2023-05-08 15:28:00,OBB,Incident Request (IR),36353.0,464652,6035.0,30319.0,30319.0
