,index,Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,ticket_age,Parent id,time_outside_codebusters,time_on_codebusters,time_in_review
0,0,CI-8921,485367,Closed,yutaka.yasumi,2023-07-04 11:19:00,07/Jul/23 12:00 AM,2023-07-20 13:49:00,Eutelsat,Service Request (SR),23190.0,485367,5.0,6.0,5.0
1,1,CI-8916,485057,Closed,alejandro.ruizrobles,2023-07-03 10:00:00,06/Jul/23 12:00 AM,2023-07-07 08:30:00,Numiga,Service Request (SR),5670.0,485057,1353.0,310.0,282.0
2,2,CI-8908,484613,Closed,alejandro.ruizrobles,2023-06-29 16:16:00,06/Jul/23 12:00 AM,2023-07-03 14:27:00,Numiga,Service Request (SR),5651.0,484613,179.0,5472.0,1055.0
3,3,CI-8889,484189,Closed,alejandro.ruizrobles,2023-06-28 11:21:00,06/Jul/23 12:00 AM,2023-07-04 15:41:00,Nedschroef,Service Request (SR),8900.0,484189,113.0,8787.0,7212.0
4,4,CI-8872,483676,Closed,alejandro.ruizrobles,2023-06-26 13:21:00,03/Jul/23 12:00 AM,2023-07-03 14:21:00,Numiga,Service Request (SR),10140.0,483676,430.0,9710.0,3044.0
5,5,CI-8871,483671,Closed,alejandro.ruizrobles,2023-06-26 13:14:00,03/Jul/23 12:00 AM,2023-07-03 14:22:00,Numiga,Service Request (SR),10148.0,483671,431.0,9717.0,3051.0
6,6,CI-8870,483664,Closed,alejandro.ruizrobles,2023-06-26 13:05:00,03/Jul/23 12:00 AM,2023-07-03 14:25:00,Numiga,Service Request (SR),10160.0,483664,433.0,9727.0,3059.0
7,7,CI-8869,483660,Closed,alejandro.ruizrobles,2023-06-26 13:00:00,03/Jul/23 12:00 AM,2023-07-03 14:24:00,Numiga,Service Request (SR),10164.0,483660,434.0,9730.0,3064.0
8,8,CI-8867,483466,Closed,yutaka.yasumi,2023-06-26 05:13:00,30/Jun/23 12:00 AM,2023-06-29 14:33:00,Endress Hauser,Service Request (SR),4880.0,483466,117.0,4763.0,1.0
9,9,CI-8856,483291,Closed,alejandro.ruizrobles,2023-06-23 11:20:00,28/Jun/23 12:00 AM,2023-06-27 14:38:00,Numiga,Service Request (SR),5958.0,483291,367.0,5591.0,225.0
10,10,CI-8840,482850,Closed,yutaka.yasumi,2023-06-22 09:36:00,29/Jun/23 12:00 AM,2023-07-15 03:05:00,Vaillant,Service Request (SR),32729.0,482850,5221.0,4886.0,330.0
11,11,CI-8839,482812,Closed,yutaka.yasumi,2023-06-22 08:29:00,27/Jun/23 12:00 AM,2023-07-06 07:01:00,Eberspacher,Service Request (SR),20072.0,482812,4250.0,11599.0,1519.0
12,12,CI-8815,481918,Closed,ssanz,2023-06-19 14:06:00,26/Jun/23 12:00 AM,2023-06-30 10:22:00,Allianz,Service Request (SR),15616.0,481918,1785.0,10656.0,6636.0
13,13,CI-8814,481732,Closed,nsanchezruiz,2023-06-19 10:57:00,26/Jun/23 12:00 AM,2023-07-21 11:57:00,OBB,Service Request (SR),46140.0,481732,4250.0,15974.0,7244.0
14,14,CI-8813,481583,Closed,nsanchezruiz,2023-06-19 09:25:00,23/Jun/23 12:00 AM,2023-07-10 12:15:00,Hugo Boss,Service Request (SR),30410.0,481583,4136.0,6003.0,353.0
15,15,CI-8812,481525,Closed,yutaka.yasumi,2023-06-19 07:04:00,26/Jun/23 12:00 AM,2023-06-22 01:31:00,Vaillant,Service Request (SR),3987.0,481525,1397.0,2590.0,2.0
16,16,CI-8807,480768,Closed,alejandro.ruizrobles,2023-06-15 18:38:00,22/Jun/23 12:00 AM,2023-06-28 19:22:00,Numiga,Service Request (SR),18764.0,480768,5862.0,12902.0,6983.0
17,17,CI-8804,480256,Closed,ssanz,2023-06-14 16:15:00,21/Jun/23 12:00 AM,2023-07-10 15:59:00,Amadeus,Service Request (SR),37424.0,480256,4575.0,24140.0,8438.0
18,18,CI-8803,480198,Closed,nsanchezruiz,2023-06-14 14:56:00,21/Jun/23 12:00 AM,2023-06-22 11:26:00,Hugo Boss,Service Request (SR),11310.0,480198,1311.0,9999.0,8620.0
19,19,CI-8802,480108,Closed,nsanchezruiz,2023-06-14 13:59:00,21/Jun/23 12:00 AM,2023-06-22 12:35:00,Hugo Boss,Service Request (SR),11436.0,480108,1451.0,9985.0,7282.0
20,20,CI-8801,480040,Closed,nsanchezruiz,2023-06-14 12:26:00,21/Jun/23 12:00 AM,2023-07-25 10:31:00,Amadeus,Service Request (SR),58925.0,480040,2619.0,20497.0,7399.0
21,21,CI-8798,479850,Closed,yutaka.yasumi,2023-06-14 02:54:00,21/Jun/23 12:00 AM,2023-07-07 04:38:00,Porsche,Service Request (SR),33224.0,479850,5320.0,3879.0,3673.0
22,22,CI-8797,479848,Closed,yutaka.yasumi,2023-06-14 02:26:00,21/Jun/23 12:00 AM,2023-06-23 09:52:00,Endress Hauser,Service Request (SR),13406.0,479848,8146.0,5260.0,3709.0
23,23,CI-8786,479627,Closed,alejandro.ruizrobles,2023-06-13 11:48:00,20/Jun/23 12:00 AM,2023-06-20 12:07:00,ProcurX,Service Request (SR),10099.0,479627,5159.0,4940.0,4558.0
24,24,CI-8762,479034,Closed,mmaciejczyk,2023-06-12 13:45:00,19/Jun/23 12:00 AM,2023-06-23 15:16:00,Porsche,Service Request (SR),15931.0,479034,8700.0,7231.0,5881.0
25,25,CI-8753,478233,Closed,jbonnavion,2023-06-08 16:41:00,15/Jun/23 12:00 AM,2023-07-24 15:41:00,ProcurX,Service Request (SR),66180.0,478233,8681.0,27230.0,17135.0
26,26,CI-8751,477625,Closed,alejandro.ruizrobles,2023-06-07 12:51:00,16/Jun/23 12:00 AM,2023-06-19 11:23:00,Numiga,Service Request (SR),17192.0,477625,4135.0,13057.0,11708.0
27,27,CI-8750,477616,Closed,alejandro.ruizrobles,2023-06-07 12:37:00,14/Jun/23 12:00 AM,2023-06-19 11:23:00,Numiga,Service Request (SR),17206.0,477616,4133.0,13073.0,11722.0
28,28,CI-8745,477471,Closed,kgostynska,2023-06-07 08:28:00,14/Jun/23 12:00 AM,2023-07-21 12:05:00,Egis,Service Request (SR),63577.0,477471,1113.0,20651.0,19052.0
29,29,CI-8743,477439,Closed,yutaka.yasumi,2023-06-07 02:52:00,12/Jun/23 12:00 AM,2023-07-04 02:48:00,Hensoldt,Service Request (SR),38876.0,477439,26671.0,12205.0,7558.0
30,30,CI-8742,477428,Closed,alejandro.ruizrobles,2023-06-06 21:01:00,13/Jun/23 12:00 AM,2023-06-16 09:21:00,Numiga,Service Request (SR),13700.0,477428,32.0,13668.0,12605.0
31,31,CI-8741,477378,Closed,askarja,2023-06-06 16:38:00,13/Jun/23 12:00 AM,2023-06-12 17:34:00,Eberspacher,Service Request (SR),8696.0,477378,7492.0,1204.0,1203.0
32,32,CI-8724,476475,Closed,nsanchezruiz,2023-06-02 14:46:00,13/Jun/23 12:00 AM,2023-06-07 08:21:00,Eberspacher,Service Request (SR),6815.0,476475,1049.0,5766.0,5422.0
33,33,CI-8723,476428,Closed,yutaka.yasumi,2023-06-02 12:12:00,09/Jun/23 12:00 AM,2023-06-15 08:39:00,Grupo Red Electrica,Service Request (SR),18507.0,476428,11947.0,6560.0,1.0
