Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Custom field (ART Sync Notes),Custom field (About),Custom field (Acceptance Criteria),Custom field (Activity),Custom field (Actual Business Value),Custom field (Actual Iteration),Custom field (Actual downtime),Custom field (Additional Information),Custom field (AeTM Migration Wave),Custom field (Assign Decision To),Custom field (Assignee Role),Custom field (Automatic Transition),Custom field (Benefit Hypothesis),Custom field (Business Assumptions),Custom field (Business Case),Custom field (Business Justification),Custom field (Business need sign off criteria),Custom field (Case Creation Date),Custom field (Case Creation Date/Time),Custom field (Case Number/s),Custom field (Category of problem),Custom field (Client status),Custom field (Code Review Report),Custom field (Commercial impact),Custom field (Commitment Level),Custom field (Committed revenues p.a.),Custom field (Competitive information),Custom field (Complexity),Custom field (Configure),Custom field (Construct),Custom field (Construct),Custom field (Cost/risk points),Custom field (Current Situation),Custom field (Customer Points),Custom field (Customer complexity),Custom field (Customer priority),Custom field (DB Change included),Custom field (DT Number/s),Custom field (Date of First Response [CHART]),Custom field (Deadline SOR),Custom field (Decision),Custom field (Delivery Service Designer),Custom field (Description of potential side effects),Custom field (Design),Custom field (Developer),Custom field (EMS Database Version/s),Custom field (Effective Assignee),Custom field (Effective Resolution),Custom field (Effective Status),Custom field (Environment types),Custom field (Epic Link),Custom field (Escalation contact),Custom field (Executive Summary),Custom field (Expected Behavior),Custom field (Expected downtime),Custom field (Expense Database Version/s),Custom field (Expense pDef Findings),Custom field (External Expert),Custom field (Fallback procedure),Custom field (Feature Validation),Custom field (Feature Validation Result),Custom field (Feature Validation Test Set URL),Custom field (Findings),Custom field (Fix),Custom field (Fix Priority),Custom field (General Information),Custom field (Help Role),Custom field (How was it solved?),Custom field (ITO Findings),Custom field (ITS Team Assigned),Custom field (Impact on booking volume),Custom field (Impacting customer implementation/rollout),Custom field (Implementation deadline),Custom field (Implementation phase),Custom field (Incident date/time),Custom field (Include in GFTP),Custom field (Initial Request Date by Customer),Custom field (Initially Created),Custom field (Interest),Custom field (Investigating Methods),Custom field (Is planned),Custom field (Issue Links Overview),Custom field (Job Size (WSJF)),Custom field (Join),Custom field (MDs spend),Custom field (Maintenance DT),Custom field (Mandate points),Custom field (Mandatory),Custom field (Meeting Notes),Custom field (Memory),Custom field (Mobile Findings),Custom field (Notes),Custom field (OLD Agile Release Train (ART)),Custom field (Original story points),Custom field (PCI-DSS Reviews),Custom field (PCI-DSS related),Custom field (PDef Transition),Custom field (PSD document),Custom field (Parameter/s),Custom field (Parent Key),Custom field (Parent Link),Custom field (Parent Transition),Custom field (Password (test system)),Custom field (Performance risk),Custom field (Personal Notes),Custom field (Planned Business Value),Custom field (Planned Iteration),Custom field (Prefix),Custom field (Prio Ranking),Custom field (ProdDef Size),Custom field (Product Definition),Custom field (Product Value),Custom field (Product value points),Custom field (Project Manager),Custom field (Proposed Corrective Actions),Custom field (Proposed Solution),Custom field (Proposed suggestion),Custom field (Public bug information),Custom field (QA Size),Custom field (Quality Assurance),Custom field (Rank),Custom field (Reason to Reopen),Custom field (Reason to Suspend),Custom field (Regression Test Case URL),Custom field (Rejection reason),Custom field (Release Date),Custom field (Release Management Findings),Custom field (Release Note Required),Custom field (Release Notes),Custom field (Release Project Management Findings),Custom field (Reported Date),Custom field (Request),Custom field (Request Type),Custom field (Requested For Quarter),Custom field (Required Skill Level),Custom field (Resources),Custom field (Responsive Design),Custom field (Restart Category),Custom field (Restart Type),Custom field (Result/s),Custom field (Retention or Growth (WSJF)),Custom field (Review Date),Custom field (Risk Assessment),Custom field (Risk Assessment Description),Custom field (Risk Reduction/Opportunity (WSJF)),Custom field (Risk Reduction/Opportunity explanation),Custom field (Risks),Custom field (Root Cause),Custom field (SAFe Epic Type),Custom field (SAFe Feature Type),Custom field (SOR document),Custom field (Security/PCI Compliance Decision),Custom field (Server : System : Location : Division),Custom field (Session),Custom field (Severity),Custom field (Showstopper (WSJF)),Custom field (Showstopper explanation),Custom field (Size),Custom field (Slot time frame),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Steps to reproduce),Custom field (Strategic customer),Custom field (Strategic customer points),Custom field (Subtask Overview),Custom field (Support from FT),Custom field (Support task assignee),Custom field (Suspended),Custom field (System),Custom field (T-Shirt sized estimation),Custom field (TMS location/division affected),Custom field (Target end),Custom field (Target end),Custom field (Target start),Custom field (Target start),Custom field (Team),Custom field (Test Case URL),Custom field (Test Run URL),Custom field (Test Set URL),Custom field (Testing and Validation),Custom field (Time Criticality (WSJF)),Custom field (Time Criticality explanation),Custom field (Timeline),Custom field (Timer),Custom field (Topic),Custom field (Total Booking Volume p.a.),Custom field (Total Contract Value),Custom field (Total Expense Volume p.a.),Custom field (Total points incl. OOM),Custom field (Travel Dev Findings),Custom field (Travel Maintenance Findings),Custom field (Travel QA Findings),Custom field (Travel QA Responsible),Custom field (Travel cSOL Findings),Custom field (Travel pDef Findings),Custom field (Type of Expense Delivery Task),Custom field (Type of Request),Custom field (Type of Script),Custom field (URL),Custom field (UX Analyst),Custom field (UX Guidelines),Custom field (UX Instructions),Custom field (UX Researcher),Custom field (UX Size),Custom field (UX Visual Designer),Custom field (UX Writer),Custom field (UXR Deliverables),Custom field (UXR Personas),Custom field (UXW RTM Code),Custom field (User Name (test system)),Custom field (User-business Value (WSJF)),Custom field (User-business Value explanation),Custom field (Validation),Custom field (What can be done to avoid it in future?),Custom field (What happened?),Custom field (When did it happen?),Custom field (When was it solved?),Custom field (Which customers are affected?),Custom field (arctic Dev Findings),Custom field (arctic QA Findings),Custom field (cytric Stability Findings)
Verify,CI-10230488,438796,435618,Individual Task,New,CI,codebusters,software,rohkamm,,,,,ssanz,gmalarski,gmalarski,03/Jan/23 12:17 PM,03/Jan/23 12:17 PM,03/Jan/23 12:32 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Sandra SANZ,,Verify / New,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue Jan 03 12:17:58 CET 2023,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Verify,,no,,,,,,,,,Hello,,,,"customfield_10305,customfield_10304,customfield_11314",CI-7867,,N/A,,,,,,,,,,,,,,,,No,,,"0|i1w8u7:",,,,,,,,,,,,,,,,,,,customfield_11314,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI5.4,Codebusters-PI-6.1,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@29e87caf,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Review,CI-10230476,438747,438746,Individual Task,New,CI,codebusters,software,rohkamm,,,,,,nsanchez,nsanchez,03/Jan/23 10:53 AM,03/Jan/23 10:53 AM,03/Jan/23 12:06 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,3.0,,,,,,,Reviewer,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Unassigned,,Review / New,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue Jan 03 10:53:17 CET 2023,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Review,,no,,customfield_12801,,,,,,,Hello,,,,"customfield_10305,customfield_10304,customfield_12801,customfield_11314,customfield_14839",CI-7949,,N/A,,,,,,,,,,,,,,,,No,,,"0|i1w8jb:",,,,,,,,,,,,,,,,,,,"description,duedate,customfield_10601,customfield_10304,customfield_10305,customfield_12801,customfield_11314,customfield_10006,customfield_14702,customfield_14839,customfield_13300,customfield_10002",Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@db605dae,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Review,CI-10230471,438712,438711,Individual Task,New,CI,codebusters,software,rohkamm,,,,,,aruizrobles,aruizrobles,03/Jan/23 10:07 AM,03/Jan/23 10:07 AM,03/Jan/23 12:33 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,3.0,,,,,,,Reviewer,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Unassigned,,Review / New,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue Jan 03 10:07:41 CET 2023,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Review,,no,,customfield_12801,,,,,,,Hello,,,,"customfield_10305,customfield_10304,customfield_12801,customfield_11314,customfield_14839",CI-7948,,N/A,,,,,,,,,,,,,,,,No,,,"0|i1w8bj:",,,,,,,,,,,,,,,,,,,"description,duedate,customfield_10601,customfield_10304,customfield_10305,customfield_12801,customfield_11314,customfield_10006,customfield_14702,customfield_14839,customfield_13300,customfield_10002",Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@dab95ba9,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Verify,CI-10230463,438694,408597,Individual Task,New,CI,codebusters,software,rohkamm,,,,,ssanz,mkuchciak,mkuchciak,03/Jan/23 8:33 AM,03/Jan/23 8:33 AM,03/Jan/23 12:33 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Sandra SANZ,,Verify / New,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue Jan 03 08:33:39 CET 2023,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Verify,,no,,,,,,,,,Hello,,,,"customfield_10305,customfield_10304,customfield_11314",CI-7253,,N/A,,,,,,,,,,,,,,,,No,,,"0|i1w87j:",,,,,,,,,,,,,,,,,,,customfield_11314,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,Codebusters-PI5.2,Codebusters-PI5.3,Codebusters-PI5.4,Codebusters-PI-6.1,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@26b3038c,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Verify,CI-10230462,438693,436670,Individual Task,New,CI,codebusters,software,rohkamm,,,,,nsanchez,mkuchciak,mkuchciak,03/Jan/23 8:33 AM,03/Jan/23 8:33 AM,03/Jan/23 12:33 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Nuria SANCHEZ RUIZ,,Verify / New,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue Jan 03 08:33:23 CET 2023,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Verify,,no,,,,,,,,,Hello,,,,"customfield_10305,customfield_10304,customfield_11314",CI-7890,,N/A,,,,,,,,,,,,,,,,No,,,"0|i1w87b:",,,,,,,,,,,,,,,,,,,customfield_11314,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI5.4,Codebusters-PI-6.1,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@64abc8b,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Communicate,CI-10230461,438692,437493,Individual Task,New,CI,codebusters,software,rohkamm,,,,,yutaka,mkuchciak,mkuchciak,03/Jan/23 8:33 AM,03/Jan/23 8:33 AM,03/Jan/23 12:33 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Yutaka YASUMI,,Communicate / New,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Tue Jan 03 08:33:08 CET 2023,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Communicate,,no,,,,,,,,,Hello,,,,"components,priority,customfield_10604,customfield_10605,customfield_10305,customfield_10304,customfield_11314",CI-7906,,N/A,,,,,,,,,,,,,,,,No,,,"0|i1w873:",,,,,,,,,,,,,,,,,,,customfield_11314,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI-6.1,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@9f2ce9aa,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Review,CI-10230458,438671,438670,Individual Task,New,CI,codebusters,software,rohkamm,,,,,,aruizrobles,aruizrobles,02/Jan/23 6:00 PM,02/Jan/23 6:00 PM,03/Jan/23 12:33 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,3.0,,,,,,,Reviewer,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Unassigned,,Review / New,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Mon Jan 02 18:00:59 CET 2023,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Review,,no,,customfield_12801,,,,,,,Hello,,,,"customfield_10305,customfield_10304,customfield_12801,customfield_11314,customfield_14839",CI-7947,,N/A,,,,,,,,,,,,,,,,No,,,"0|i1w82f:",,,,,,,,,,,,,,,,,,,"description,duedate,customfield_10601,customfield_10304,customfield_10305,customfield_12801,customfield_11314,customfield_10006,customfield_14702,customfield_14839,customfield_13300,customfield_10002",Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI-6.1,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@cce53632,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Review,CI-10230457,438666,438665,Individual Task,New,CI,codebusters,software,rohkamm,,,,,jtkacz,gheorghe,gheorghe,02/Jan/23 5:37 PM,02/Jan/23 5:47 PM,03/Jan/23 12:33 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,3.0,,,,,,,Reviewer,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Jakub TKACZ,,Review / New,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Mon Jan 02 17:37:41 CET 2023,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Review,,no,,customfield_12801,,,,,,,Hello,,,,"customfield_10305,customfield_10304,customfield_12801,customfield_11314,customfield_14839",CI-7946,,N/A,,,,,,,,,,,,,,,,No,,,"0|i1w81b:",,,,,,,,,,,,,,,,,,,"description,duedate,customfield_10601,customfield_10304,customfield_10305,customfield_12801,customfield_11314,customfield_10006,customfield_14702,customfield_14839,customfield_13300,customfield_10002",Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI-6.1,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@8feac221,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Review,CI-10230456,438663,438662,Individual Task,New,CI,codebusters,software,rohkamm,,,,,jtkacz,gheorghe,gheorghe,02/Jan/23 5:34 PM,02/Jan/23 5:40 PM,03/Jan/23 12:33 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,3.0,,,,,,,Reviewer,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Jakub TKACZ,,Review / New,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Mon Jan 02 17:34:30 CET 2023,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Review,,no,,customfield_12801,,,,,,,Hello,,,,"customfield_10305,customfield_10304,customfield_12801,customfield_11314,customfield_14839",CI-7945,,N/A,,,,,,,,,,,,,,,,No,,,"0|i1w80n:",,,,,,,,,,,,,,,,,,,"description,duedate,customfield_10601,customfield_10304,customfield_10305,customfield_12801,customfield_11314,customfield_10006,customfield_14702,customfield_14839,customfield_13300,customfield_10002",Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI-6.1,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@8fdf0dc0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Verify,CI-10230455,438659,434862,Individual Task,New,CI,codebusters,software,rohkamm,,,,,gheorghe,jtkacz,jtkacz,02/Jan/23 5:28 PM,02/Jan/23 5:28 PM,03/Jan/23 12:33 PM,,,0,Please note that the Description of the main/parent issue contains the actual task description. Any information entered here will NOT be copied to the parent issue.,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,Committed,,,,Configure,Construct code,Construct Test Cases,,,,,,,,,,,,,,,,Andreea GHEORGHE,,Verify / New,,,,,,,,,,,,,,,Fix,,,,,,,,No,,,,,,Mon Jan 02 17:28:39 CET 2023,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,Verify,,no,,,,,,,,,Hello,,,,"customfield_10305,customfield_10304,customfield_11314",CI-7856,,N/A,,,,,,,,,,,,,,,,No,,,"0|i1w7zr:",,,,,,,,,,,,,,,,,,,customfield_11314,Retention,,,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI5.4,Codebusters-PI-6.1,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,Regular/Other,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@9c0222ef,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
