,Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,source,Iteration
0,CI-8939,485970,Closed,mmaciejczyk,06/Jul/23 3:30 PM,13/Jul/23 12:00 AM,27/Jul/23 3:59 PM,Rheinmetall,Incident Request (IR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
1,CI-8937,485918,Import in Production,mmaciejczyk,06/Jul/23 12:47 PM,13/Jul/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
2,CI-8936,485909,Import in Production,alejandro.ruizrobles,06/Jul/23 12:29 PM,13/Jul/23 12:00 AM,,ProcurX,SR - Partner,DataSets\in_progress_PI23.3-1.csv,PI23.3-1
3,CI-8933,485825,Closed,alejandro.ruizrobles,06/Jul/23 9:30 AM,13/Jul/23 12:00 AM,11/Jul/23 12:00 PM,Numiga,SR - Partner,DataSets\in_progress_PI23.3-1.csv,PI23.3-1
4,CI-8930,485789,Closed,yutaka.yasumi,06/Jul/23 8:08 AM,13/Jul/23 12:00 AM,31/Jul/23 11:36 AM,msg systems,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
5,CI-8929,485777,Closed,yutaka.yasumi,06/Jul/23 7:57 AM,13/Jul/23 12:00 AM,25/Jul/23 1:32 PM,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
6,CI-8928,485756,Communicate,askarja,05/Jul/23 8:32 PM,12/Jul/23 12:00 AM,,dm-drogerie markt,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
7,CI-8927,485750,Communicate,mmaciejczyk,05/Jul/23 6:41 PM,12/Jul/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
8,CI-8923,485418,Closed,alejandro.ruizrobles,04/Jul/23 1:42 PM,11/Jul/23 12:00 AM,11/Jul/23 12:07 PM,Numiga,SR - Partner,DataSets\in_progress_PI23.3-1.csv,PI23.3-1
9,CI-8922,485403,Configure,alejandro.ruizrobles,04/Jul/23 12:58 PM,14/Jul/23 12:00 AM,,ProcurX,SR - Partner,DataSets\in_progress_PI23.3-1.csv,PI23.3-1
10,CI-8921,485367,Closed,yutaka.yasumi,04/Jul/23 11:19 AM,07/Jul/23 12:00 AM,20/Jul/23 1:49 PM,Eutelsat,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
11,CI-8919,485193,Closed,mmaciejczyk,03/Jul/23 2:29 PM,10/Jul/23 12:00 AM,24/Jul/23 10:45 AM,CEPSA,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
