Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (ART Sync Notes),Custom field (Activity),Custom field (Actual Business Value),Custom field (Actual Iteration),Custom field (Actual downtime),Custom field (Additional Information),Custom field (Attached file with changes),Custom field (Automatic Transition),Custom field (Benefit Hypothesis),Custom field (Business Justification),Custom field (Case Creation Date),Custom field (Case Creation Date/Time),Custom field (Case Number/s),Custom field (Category of problem),Custom field (Client status),Custom field (Commitment Level),Custom field (Complexity),Custom field (Configure),Custom field (Customer/s),Custom field (DB Change included),Custom field (Date of First Response [CHART]),Custom field (Developer),Custom field (EMS Database Version/s),Custom field (Effective Assignee),Custom field (Effective Resolution),Custom field (Effective Status),Custom field (Environment types),Custom field (Epic Link),Custom field (Escalation contact),Custom field (Executive Summary),Custom field (Expected Behavior),Custom field (Expected downtime),Custom field (Expense Database Version/s),Custom field (External Expert),Custom field (Fallback procedure),Custom field (Feature Validation),Custom field (Feature Validation Result),Custom field (Feature Validation Test Set URL),Custom field (Findings),Custom field (Fix Priority),Custom field (General Information),Custom field (ITS Team Assigned),Custom field (Import),Custom field (Import),Custom field (Import),Custom field (Incident date/time),Custom field (Initial Request Date by Customer),Custom field (Investigating Methods),Custom field (Is planned),Custom field (Issue Links Overview),Custom field (Job Size (WSJF)),Custom field (MDs spend),Custom field (Memory),Custom field (Notes),Custom field (OLD Agile Release Train (ART)),Custom field (Original story points),Custom field (PCI-DSS Reviews),Custom field (PCI-DSS related),Custom field (PDef Transition),Custom field (PSD document),Custom field (Parent Key),Custom field (Parent Link),Custom field (Personal Notes),Custom field (Planned Business Value),Custom field (Planned Iteration),Custom field (Priority Index),Custom field (Product Definition),Custom field (Proposed Corrective Actions),Custom field (Proposed Solution),Custom field (Rank),Custom field (Reason to Reopen),Custom field (Reason to Suspend),Custom field (Rejection reason),Custom field (Release Date),Custom field (Release Notes),Custom field (Remaining Story Points),Custom field (Reported Date),Custom field (Request Type),Custom field (Required Skill Level),Custom field (Resources),Custom field (Restart Category),Custom field (Restart Type),Custom field (Retention or Growth (WSJF)),Custom field (Review Date),Custom field (Risk Reduction/Opportunity (WSJF)),Custom field (Risk Reduction/Opportunity explanation),Custom field (Risks),Custom field (Root Cause),Custom field (SAFe Epic Type),Custom field (SAFe Feature Type),Custom field (SOR document),Custom field (Security/PCI Compliance Decision),Custom field (Server : System : Location : Division),Custom field (Session),Custom field (Severity),Custom field (Showstopper (WSJF)),Custom field (Showstopper explanation),Custom field (Size),Custom field (Slot time frame),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Story Points),Custom field (Subtask Overview),Custom field (Support from FT),Custom field (Suspended),Custom field (System),Custom field (T-Shirt sized estimation),Custom field (TMS location/division affected),Custom field (Target end),Custom field (Target end),Custom field (Target start),Custom field (Target start),Custom field (Team),Custom field (Test Set URL),Custom field (Testing and Validation),Custom field (Time Criticality (WSJF)),Custom field (Time Criticality explanation),Custom field (Timeline),Custom field (Total Expense Volume p.a.),Custom field (Travel QA Responsible),Custom field (Type of Expense Delivery Task),Custom field (Type of Request),Custom field (URL),Custom field (UX Analyst),Custom field (UX Guidelines),Custom field (UX Researcher),Custom field (UX Visual Designer),Custom field (UX Writer),Custom field (UXR Deliverables),Custom field (UXR Personas),Custom field (UXW RTM Code),Custom field (User-business Value (WSJF)),Custom field (User-business Value explanation),Custom field (Validation),Comment,Comment,Comment,Comment,Comment,Comment
Numiga Nordsee - Increase approval timeouts in the workflow,CI-8908,484613,Expense Delivery,Closed,CI,codebusters,software,mrohkamm,,,Done,,alejandro.ruizrobles,alejandro.ruizrobles,29/Jun/23 4:16 PM,03/Jul/23 2:27 PM,05/Jul/23 7:45 AM,03/Jul/23 2:27 PM,06/Jul/23 12:00 AM,0,Partners,,,"System: nordsee

Hello team,

Please, add the following approval timeouts:

Approval--> 20 days
Auditing-->56  days
Accounted to finished-->64 days

Thank you!

Alejandro",,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,29/Jun/23 12:00 AM,,2-17604480893,,,Committed,,Configure,Numiga,,,jtkacz,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,,"0|i23re4:",,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: BALI ; travel
System: nordsee
Location: all",,3 - Medium,YES,,,,Codebusters-PI-23.3-1,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1407d986,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@25f1cf97,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64d7f904,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7c369a69,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@56d7a780,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7df147ba,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@26b58ed9,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@6e18bdb4,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@598fc50,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,
Numiga Hensoldt - Change Bank account in SEPA file,CI-8872,483676,Expense Delivery,Closed,CI,codebusters,software,mrohkamm,,,Done,,alejandro.ruizrobles,alejandro.ruizrobles,26/Jun/23 1:21 PM,03/Jul/23 2:21 PM,05/Jul/23 7:55 AM,03/Jul/23 2:21 PM,03/Jul/23 12:00 AM,0,Partners,,,"System: bcdtravel-de-hensoldt

Hello team,

Please, change the bank account in the SEPA file. This is the new information:

Numiga GmbH

IBAN: DE33 2907 0050 0229 3272 00

BIC: DEUTDEHBXXX

Thank you!

Alejandro",,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,26/Jun/23 12:00 AM,,2-17598922323,,,Committed,,Configure,Numiga,,,jtkacz,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,,"0|i23jna:r",,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: BALI ; mega
System: bcdtravel-de-hensoldt
Location: all",,3 - Medium,YES,,,,Codebusters-PI-23.3-1,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1407d986,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@25f1cf97,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64d7f904,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7c369a69,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@56d7a780,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7df147ba,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@26b58ed9,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@6e18bdb4,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@598fc50,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,
Numiga Cariad - Change Bank account for SEPA file,CI-8871,483671,Expense Delivery,Closed,CI,codebusters,software,mrohkamm,,,Done,,alejandro.ruizrobles,alejandro.ruizrobles,26/Jun/23 1:14 PM,03/Jul/23 2:22 PM,05/Jul/23 7:55 AM,03/Jul/23 2:22 PM,03/Jul/23 12:00 AM,0,Partners,,,"System: Volkswagen-CSO

Hello team,

Please, change the bank account in the SEPA file. This is the new information:

Numiga GmbH

IBAN: DE33 2907 0050 0229 3272 00

BIC: DEUTDEHBXXX

Thank you!

Alejandro",,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,26/Jun/23 12:00 AM,,2-17598945503,,,Committed,,Configure,Numiga,,,jtkacz,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,,"0|i23jna:i",,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: BALI ; Travel
System: Volkswagen-CSO
Location: all",,3 - Medium,YES,,,,Codebusters-PI-23.3-1,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1407d986,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@25f1cf97,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64d7f904,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7c369a69,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@56d7a780,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7df147ba,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@26b58ed9,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@6e18bdb4,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@598fc50,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,
Numiga Elli - Change Bank account in SEPA file,CI-8870,483664,Expense Delivery,Closed,CI,codebusters,software,mrohkamm,,,Done,,alejandro.ruizrobles,alejandro.ruizrobles,26/Jun/23 1:05 PM,03/Jul/23 2:25 PM,05/Jul/23 7:55 AM,03/Jul/23 2:25 PM,03/Jul/23 12:00 AM,0,Partners,,,"System: volkswagen-group-charging

Hello team,

Please, change the bank account in the SEPA file. This is the new information:

Numiga GmbH

IBAN: DE33 2907 0050 0229 3272 00

BIC: DEUTDEHBXXX

Thank you!

Alejandro",,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,26/Jun/23 12:00 AM,,2-17598954693,,,Committed,,Configure,Numiga,,,jtkacz,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,,"0|i23jna:9",,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: Travel
System: volkswagen-group-charging
Configuration: all",,3 - Medium,YES,,,,Codebusters-PI-23.3-1,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1407d986,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@25f1cf97,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64d7f904,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7c369a69,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@56d7a780,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7df147ba,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@26b58ed9,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@6e18bdb4,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@598fc50,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,
Numiga MOIA - Change Bank account in SEPA file,CI-8869,483660,Expense Delivery,Closed,CI,codebusters,software,mrohkamm,,,Done,,alejandro.ruizrobles,alejandro.ruizrobles,26/Jun/23 1:00 PM,03/Jul/23 2:24 PM,05/Jul/23 7:55 AM,03/Jul/23 2:24 PM,03/Jul/23 12:00 AM,0,Partners,,,"System: volkswagen-MOIA

Hello team,

Please, change the bank account in the SEPA file. This is the new information:

Numiga GmbH

IBAN: DE33 2907 0050 0229 3272 00

BIC: DEUTDEHBXXX

Thank you!

Alejandro",,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,26/Jun/23 12:00 AM,,2-17598943253,,,Committed,,Configure,Numiga,,,jtkacz,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,,"0|i23jna:",,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: BALI ; Travel
System: volkswagen-MOIA
Configuration: all",,3 - Medium,YES,,,,Codebusters-PI-23.3-1,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1407d986,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@25f1cf97,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64d7f904,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7c369a69,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@56d7a780,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7df147ba,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@26b58ed9,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@6e18bdb4,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@598fc50,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,
Numiga MOIA - Unhide section,CI-8856,483291,Expense Delivery,Closed,CI,codebusters,software,mrohkamm,,,Done,,alejandro.ruizrobles,alejandro.ruizrobles,23/Jun/23 11:20 AM,27/Jun/23 2:38 PM,05/Jul/23 7:55 AM,27/Jun/23 2:38 PM,28/Jun/23 12:00 AM,0,Partners,,,"System: volkswagen-MOIA

Hello team,

We need to unhide the meal deductions section for the ""Expenses"" configuration. We need to keep the meal deduction section hidden for ""One day trip"" configuration.

Thank you!

Alejandro",,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,23/Jun/23 12:00 AM,,2-17495794773,,,Committed,,Configure,Numiga,,,jtkacz,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,,"0|i20pql:ynzxzzr",,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: BALI ; Travel
System: volkswagen-MOIA
Configuration: Expenses",,3 - Medium,YES,,,,Codebusters-PI-23.3-1,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1407d986,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@25f1cf97,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64d7f904,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7c369a69,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@56d7a780,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7df147ba,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@26b58ed9,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@6e18bdb4,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@598fc50,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,
Numiga LCC - Create (copy/paste) a new system,CI-8807,480768,Expense Delivery,Closed,CI,codebusters,software,mrohkamm,,,Done,,alejandro.ruizrobles,alejandro.ruizrobles,15/Jun/23 6:38 PM,28/Jun/23 7:22 PM,05/Jul/23 7:55 AM,28/Jun/23 7:22 PM,22/Jun/23 12:00 AM,0,Partners,,,"System: lcc-demo-numiga

Hello team,

Please, we need:
 * Copy and paste numiga-master-test VEGAS code and create a new folder for a new system: lcc-demo-numiga
 * Engine configuration will be done using EMS so I will do it when the VEGAS part is done.
 * If you want, you don't need to copy itinerary section as it can be done using EMS
 * Only 2022 configuration + different configurations must apply.

Thank you!

Alejandro",,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,15/Jun/23 12:00 AM,,2-17568772293,,,Committed,,Configure,Numiga,,,jtkacz,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,,"0|i20pql:ynzxi",,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: BALI ; World
System: lcc-demo-numiga
Configuration: main configuration",,3 - Medium,YES,,,,Codebusters-PI-7.3,Codebusters-PI-23.3-1,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1407d986,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@25f1cf97,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64d7f904,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7c369a69,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@56d7a780,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7df147ba,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@26b58ed9,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@6e18bdb4,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@598fc50,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,
Numiga MOIA - Remove configurations and add a new one,CI-8751,477625,Expense Delivery,Closed,CI,codebusters,software,mrohkamm,,,Done,,alejandro.ruizrobles,alejandro.ruizrobles,07/Jun/23 12:51 PM,19/Jun/23 11:23 AM,05/Jul/23 7:55 AM,19/Jun/23 11:23 AM,16/Jun/23 12:00 AM,0,Partners,,,"System: volkswagen-MOIA

Hello team,

Please, I need the following changes:
 * Remove the following configurations:
 ** Trip home (DE: Heimreise)
 ** Mileage allowance collective statement (DE: Kilometergeld-Sammelabrechnung)
 ** Training ""full catering"" (DE: Schulung ""Vollverpflegung"")
 * Rename ""Business trip"" configuration:
 ** EN: Expenses
 ** DE: Expenses
 * Add a new configuration:
 ** Name: 
 *** EN: One day trip
 *** DE: One day trip
 ** It should have the same configuration (receipts, FDFs, export, etc. like ""Expenses"" configuration) but there are some exceptions:
 *** Hide meal deductions section in the itinerary
 *** Hide accommodation section in the itinerary

Cutoff is not necessary because the system is not in live.

Thank you!

Alejandro",,,,,,,,,,0,6540,,,,CI-8750,,,,,,,,,,,12.0,,,,,,,,,07/Jun/23 12:00 AM,,2-17495794773,,,Committed,,Configure,Numiga,,,mkuchciak,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@1cbffb24,0,,,,,,Hello,,,,,,,,,,,,,"0|i20pql:ynzu",,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: Travel, Bali
System: volkswagen-MOIA
Location: all",,3 - Medium,YES,,,,Codebusters-PI-7.3,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1407d986,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@25f1cf97,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64d7f904,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7c369a69,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@56d7a780,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7df147ba,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@26b58ed9,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@6e18bdb4,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@598fc50,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,"15/Jun/23 5:46 PM;alejandro.ruizrobles;Hi [~mkuchciak] ,

I don't see the changes on BALI. Most probably someone reverted the changes or Jenkins failed :(

Could you recheck it?

Thank you!

Alejandro;;;",,,,,
Numiga MOIA - Changes in VEGAS,CI-8750,477616,Expense Delivery,Closed,CI,codebusters,software,mrohkamm,,,Done,,alejandro.ruizrobles,alejandro.ruizrobles,07/Jun/23 12:37 PM,19/Jun/23 11:23 AM,05/Jul/23 7:55 AM,19/Jun/23 11:23 AM,14/Jun/23 12:00 AM,0,escalated,Partners,,"System: volkswagen-MOIA

Hello team,

I need the following changes in VEGAS:

*FDFs*
 * Trip Number (DE: Reisenummer): to be deleted
 * Employee Number (Personalnummer): not editable for user and Auditor, it only needs to be visible for them
 * Department (DE: Standort des Reisenden): not editable for user and Auditor, it only needs to be visible for them
 * Internal account (DE: Interner Account): to be deleted
 * Order number (DE: Auftragsnummer): to be deleted
 * Project number (DE: Projektnummer): to be deleted
 * Trip purpose (DE:Grund / Zweck der Reise): to be mandatory
 * Location of employee (DE: Einsatzort des Reisenden): to be deleted
 * Division (Siglum) (DE: Abteilung (Siglum): to be deleted

*Meal deduction (itinerary)*
 * Hide this section

*Accommodation allowances (itinerary)*
 * Remove Hotel option

The system is not in live so you can do the changes directly in the current configuration without cutoff day.

Thank you!

Alejandro",,,,,,,,,,0,6540,,,,,,CI-8751,,,,,,,,,12.0,,,,,,,,,07/Jun/23 12:00 AM,,2-17495794773,,,Committed,,Configure,Numiga,,,mkuchciak,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@6492f247,0,,,,,,Hello,,,,,,,,,,,,,"0|i20pql:ynzt",,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: Travel, Bali
System: volkswagen-MOIA
Location: all",,3 - Medium,YES,,,,Codebusters-PI-7.3,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1407d986,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@25f1cf97,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64d7f904,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7c369a69,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@56d7a780,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7df147ba,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@26b58ed9,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@6e18bdb4,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@598fc50,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,"15/Jun/23 5:46 PM;alejandro.ruizrobles;Hi [~mkuchciak] ,

I don't see the changes on BALI. Most probably someone reverted the changes or Jenkins failed :(

Could you recheck it?

Thank you!

Alejandro;;;",,,,,
Numiga Fiege IT - Add 2 new receipts,CI-8742,477428,Expense Delivery,Closed,CI,codebusters,software,mrohkamm,,,Done,,alejandro.ruizrobles,alejandro.ruizrobles,06/Jun/23 9:01 PM,16/Jun/23 9:21 AM,05/Jul/23 7:55 AM,16/Jun/23 9:21 AM,13/Jun/23 12:00 AM,0,Partners,,,"System: lcc-lueckertz-fiege

Location: TESTSTANDORT Fiege Italien

Hello team,

We need to add the following receipts:
||Receipt EN||Receipt IT||GL account||Debit Posting||Credit Posting||Posting text||
|Car wash|Lavaggio auto|360600|40|50|Car wash|
|Parking|Parcheggio|363000|40|50|Parking|

Thank you team!

Alejandro",,,,,,,,,,0,63600,,,,,,,,,,,,,,,9.0,,,,,,,,,06/Jun/23 12:00 AM,,2-17529177663,,,Committed,,Configure,Numiga,,,,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,,"0|i20pql:ynzqzzzzxi",,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: BALI ; world
System: lcc-lueckertz-fiege
Location: TESTSTANDORT Fiege Italien",,3 - Medium,YES,,,,Codebusters-PI-7.3,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1407d986,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@25f1cf97,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@64d7f904,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7c369a69,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@56d7a780,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7df147ba,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@26b58ed9,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@6e18bdb4,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@598fc50,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,
