,Parent id,time_in_review
0,174802,0 days 00:01:00.000000000
1,329036,0 days 00:00:00.000000000
2,336670,0 days 00:01:00.000000000
3,338553,238 days 13:36:00.000000000
4,345462,8 days 01:23:00.000000000
5,347539,1 days 00:50:00.000000000
6,349721,0 days 00:02:00.000000000
7,353363,0 days 10:17:00.000000000
8,357612,2 days 00:10:00.000000000
9,357942,0 days 02:43:00.000000000
10,358397,0 days 00:10:00.000000000
11,358945,0 days 00:55:00.000000000
12,359493,0 days 00:00:00.000000000
13,359638,0 days 07:32:00.000000000
14,359731,0 days 00:00:00.000000000
15,359734,0 days 12:13:00.000000000
16,359849,13 days 20:10:00.000000000
17,359961,0 days 00:00:00.000000000
18,359968,0 days 00:00:00.000000000
19,360164,1 days 01:03:00.000000000
20,360277,1 days 03:20:00.000000000
21,360335,6 days 23:13:00.000000000
22,360424,15 days 02:45:00.000000000
23,360479,5 days 23:00:00.000000000
24,360481,25 days 22:05:00.000000000
25,360510,3 days 08:20:00.000000000
26,360521,0 days 04:38:00.000000000
27,360541,2 days 02:17:00.000000000
28,360576,0 days 19:56:00.000000000
29,360615,0 days 00:00:00.000000000
30,360621,23 days 02:56:00.000000000
31,360637,0 days 08:15:00.000000000
32,360687,13 days 21:28:00.000000000
33,360744,0 days 00:11:00.000000000
34,360759,0 days 19:32:00.000000000
35,360791,22 days 00:02:00.000000000
36,360807,41 days 20:31:00.000000000
37,360809,29 days 18:46:00.000000000
38,360823,0 days 17:58:00.000000000
39,360829,61 days 20:28:00.000000000
40,360831,61 days 20:26:00.000000000
41,360833,85 days 16:57:00.000000000
42,360835,29 days 18:09:00.000000000
43,360838,61 days 20:22:00.000000000
44,360851,0 days 07:41:00.000000000
45,360859,0 days 00:00:00.000000000
46,360869,0 days 03:08:00.000000000
47,360940,0 days 00:00:00.000000000
48,361016,4 days 23:24:00.000000000
49,361181,0 days 08:51:00.000000000
50,361186,23 days 23:01:00.000000000
51,361309,4 days 23:50:00.000000000
52,361425,3 days 07:15:00.000000000
53,361463,3 days 22:55:00.000000000
54,361490,4 days 02:44:00.000000000
55,361502,0 days 02:07:00.000000000
56,361609,6 days 02:54:00.000000000
57,361615,1 days 10:34:00.000000000
58,361731,10 days 20:15:00.000000000
59,361793,6 days 16:18:00.000000000
60,361804,6 days 15:56:00.000000000
61,361809,57 days 20:05:00.000000000
62,361812,16 days 19:29:00.000000000
63,361814,14 days 19:05:00.000000000
64,361816,6 days 15:36:00.000000000
65,361818,17 days 18:41:00.000000000
66,361821,17 days 18:09:00.000000000
