Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,time_outside_codebusters,time_on_codebusters,time_in_review
CI-8574,468635,Closed,yutaka,2023-04-28 03:47:00,01/May/23 12:00 AM,2023-05-08 16:08:00,Rehau,Service Request (SR),468635,45934.0,11568.0,24.0
CI-8568,468149,Closed,aruizrobles,2023-04-26 15:30:00,03/May/23 12:00 AM,2023-05-04 17:55:00,Numiga,Service Request (SR),468149,7923.000000000001,88256.0,2836.0
CI-8560,467735,Closed,nsanchez,2023-04-25 11:57:00,08/May/23 12:00 AM,2023-05-08 14:02:00,OBB,Service Request (SR),467735,208506.0,15208.0,9864.0
CI-8554,467243,Closed,yutaka,2023-04-24 06:44:00,08/May/23 12:00 AM,2023-05-10 04:06:00,Hensoldt,Service Request (SR),467243,12099.0,32047.000000000004,0.0
CI-8552,467085,Closed,nsanchez,2023-04-21 14:58:00,27/Apr/23 12:00 AM,2023-05-08 13:46:00,VW,Service Request (SR),467085,48221.0,103678.0,9953.0
CI-8545,466571,Closed,nsanchez,2023-04-20 10:19:00,27/Apr/23 12:00 AM,2023-05-08 13:37:00,Enercon,Service Request (SR),466571,40753.0,152563.0,11568.0
CI-8539,466314,Closed,kgostynska,2023-04-19 14:03:00,26/Apr/23 12:00 AM,2023-05-10 14:50:00,Hugo Boss,Service Request (SR),466314,6410.0,87694.0,12857.0
CI-8534,466032,Closed,skarja,2023-04-18 17:16:00,25/Apr/23 12:00 AM,2023-05-10 19:42:00,Porsche,Service Request (SR),466032,1165.0,41655.0,28777.0
CI-8517,465749,Closed,yutaka,2023-04-18 11:44:00,25/Apr/23 12:00 AM,2023-04-28 06:41:00,Eberspacher,Service Request (SR),465749,39441.0,180021.0,4297.000000000001
CI-8512,465533,Closed,yutaka,2023-04-18 07:25:00,25/Apr/23 12:00 AM,2023-04-27 11:59:00,CMS Hasche Sigle,Service Request (SR),465533,83330.0,2096.0000000000005,13234.0
CI-8511,465510,Closed,yutaka,2023-04-18 05:37:00,25/Apr/23 12:00 AM,2023-04-18 07:20:00,CMS Hasche Sigle,Service Request (SR),465510,1382.0,3042.0,0.0
CI-8510,465499,Closed,yutaka,2023-04-18 04:31:00,25/Apr/23 12:00 AM,2023-05-08 02:18:00,Amadeus,Service Request (SR),465499,15579.000000000002,80253.0,5.0
CI-8509,465496,Closed,yutaka,2023-04-18 04:16:00,25/Apr/23 12:00 AM,2023-04-18 04:36:00,Amadeus,Service Request (SR),465496,18066.0,27924.0,16.000000000000004
CI-8460,464251,Import to Customer Test System,mmaciejczyk,2023-04-11 14:50:00,18/Apr/23 12:00 AM,2023-05-10 11:15:00,Burda,Service Request (SR),464251,32146.000000000004,71293.0,303.0
CI-8369,459796,Closed,kgostynska,2023-03-24 15:03:00,31/Mar/23 12:00 AM,2023-05-04 11:31:00,Rheinmetall,Service Request (SR),459796,36129.0,167477.0,133.00000000000003
CI-8328,456902,Closed,nsanchez,2023-03-16 16:57:00,23/Mar/23 12:00 AM,2023-04-27 13:27:00,msg systems,Service Request (SR),456902,107950.0,201912.0,9.0
CI-8285,454741,Closed,nsanchez,2023-03-09 16:25:00,20/Mar/23 12:00 AM,2023-04-21 09:12:00,DER,Service Request (SR),454741,13384.0,7974.000000000001,3142.0
CI-8272,453603,Closed,yutaka,2023-03-07 02:13:00,21/Mar/23 12:00 AM,2023-03-16 07:38:00,Spiegel,Service Request (SR),453603,137.0,19067.0,247.00000000000003
CI-8263,453231,Closed,nsanchez,2023-03-06 09:39:00,07/Mar/23 12:00 AM,2023-03-10 13:31:00,Amadeus,Service Request (SR),453231,24.0,6730.0,1506.0
CI-8260,453010,Closed,aruizrobles,2023-03-03 17:56:00,10/Mar/23 12:00 AM,2023-03-21 10:14:00,Numiga,Service Request (SR),453010,269.00000000000006,73620.0,9443.0
CI-8259,453008,Closed,aruizrobles,2023-03-03 17:46:00,10/Mar/23 12:00 AM,2023-03-13 09:49:00,Numiga,Service Request (SR),453008,67874.00000000001,23497.0,9453.0
CI-8255,452973,Closed,yutaka,2023-03-03 14:38:00,22/Nov/22 12:00 AM,2023-03-03 14:39:00,Hugo Boss,Service Request (SR),452973,0.0,91.0,1.0000000000000002
CI-8251,452791,Closed,yutaka,2023-03-03 05:27:00,10/Mar/23 12:00 AM,2023-03-22 15:07:00,Endress Hauser,Service Request (SR),452791,1511.0,1817.0,0.0
CI-8248,452777,Closed,yutaka,2023-03-03 02:33:00,17/Mar/23 12:00 AM,2023-03-15 10:13:00,Eberspacher,Service Request (SR),452777,11164.0,16361.000000000002,1.0000000000000002
CI-8245,452623,Closed,nsanchez,2023-03-02 11:17:00,13/Mar/23 12:00 AM,2023-03-14 16:26:00,Amadeus,Service Request (SR),452623,54429.0,21465.0,1315.0
CI-8244,452543,Closed,ssanz,2023-03-02 09:48:00,09/Mar/23 12:00 AM,2023-03-15 14:24:00,Allianz,Service Request (SR),452543,1.0000000000000002,2065.0000000000005,10250.0
CI-8242,452464,Closed,yutaka,2023-03-02 01:04:00,09/Mar/23 12:00 AM,2023-04-06 16:26:00,Burda,Service Request (SR),452464,23159.0,23012.0,7820.000000000001
CI-8237,451967,Closed,nsanchez,2023-02-28 11:30:00,08/Mar/23 12:00 AM,2023-03-13 14:13:00,Porsche,Service Request (SR),451967,25756.0,29900.0,10001.0
CI-8236,451837,Closed,yutaka,2023-02-28 00:45:00,07/Mar/23 12:00 AM,2023-04-13 16:29:00,Hugo Boss,Service Request (SR),451837,35484.0,60815.0,12026.0
CI-8231,451099,Closed,nsanchez,2023-02-24 08:55:00,02/Mar/23 12:00 AM,2023-03-10 10:29:00,Hugo Boss,Service Request (SR),451099,884.0,127959.00000000001,16233.000000000002
CI-8228,450993,Closed,nsanchez,2023-02-23 16:12:00,06/Mar/23 12:00 AM,2023-02-27 13:09:00,Wacker,Service Request (SR),450993,99.0,7859.000000000001,1308.0
CI-8226,450975,Closed,aruizrobles,2023-02-23 15:50:00,02/Mar/23 12:00 AM,2023-02-27 16:42:00,Numiga,Service Request (SR),450975,2922.0,32801.00000000001,1375.0
CI-8225,450885,Closed,ssanz,2023-02-23 13:56:00,02/Mar/23 12:00 AM,2023-03-23 16:34:00,Rehau,Service Request (SR),450885,57448.0,7120.0,1396.0
CI-8224,450881,Closed,nsanchez,2023-02-23 13:52:00,28/Feb/23 12:00 AM,2023-02-27 12:58:00,Endress Hauser,Service Request (SR),450881,1.0000000000000002,1408.0,5696.0
CI-8220,450591,Closed,achattopadhyay,2023-02-22 14:58:00,28/Feb/23 12:00 AM,2023-02-27 14:00:00,Endress Hauser,Service Request (SR),450591,4998.0,12505.0,6856.0
CI-8218,450520,Closed,mmaciejczyk,2023-02-22 12:23:00,01/Mar/23 12:00 AM,2023-03-16 12:26:00,Porsche,Service Request (SR),450520,472.0,89368.0,17307.000000000004
CI-8217,450516,Closed,nsanchez,2023-02-22 12:11:00,01/Mar/23 12:00 AM,2023-02-27 11:38:00,Amadeus,Service Request (SR),450516,22981.0,37432.0,1454.0
CI-8215,450484,Closed,ssanz,2023-02-22 11:37:00,01/Mar/23 12:00 AM,2023-02-22 17:56:00,TUI AG,Service Request (SR),450484,2.0000000000000004,1211.0,91.0
CI-8214,450395,Closed,yutaka,2023-02-22 08:28:00,01/Mar/23 12:00 AM,2023-02-22 12:26:00,Daimler (MFTBC),Service Request (SR),450395,68.00000000000001,1084.0000000000002,1.0000000000000002
