,Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,Review created,Communicate created,age_till_communicate,age_till_communicate_hours
0,CI-7939,438382,Review,salajan,2022-12-29 14:47:00,05/Jan/23 12:00 AM,,Amadeus,Service Request (SR),438382,2022-12-29 14:47:00,,,
1,CI-7938,438360,Closed,nsanchez,2022-12-29 11:30:00,30/Dec/22 12:00 AM,29/Dec/22 3:44 PM,Ineos,Service Request (SR),438360,2022-12-29 11:30:00,2022-12-29 15:37:00,0 days 04:07:00.000000000,4.12
2,CI-7937,438350,Review,achattopadhyay,2022-12-29 10:45:00,17/Jan/23 12:00 AM,,Rewe Group,Service Request (SR),438350,2022-12-29 10:45:00,,,
3,CI-7936,438267,Closed,nsanchez,2022-12-28 10:25:00,01/Jan/23 12:00 AM,29/Dec/22 9:48 AM,Daimler (MFTBC),Service Request (SR),438267,2022-12-28 10:25:00,2022-12-29 09:48:00,0 days 23:23:00.000000000,23.38
4,CI-7935,438259,Review,nsanchez,2022-12-28 09:20:00,02/Jan/23 12:00 AM,,msg systems,Service Request (SR),438259,2022-12-28 09:20:00,,,
5,CI-7934,438242,Configure,salajan,2022-12-27 18:02:00,31/Dec/22 12:00 AM,,i:FAO,Incident Request (IR),438242,2022-12-27 18:02:00,,,
6,CI-7933,438238,Closed,ssanz,2022-12-27 16:12:00,03/Jan/23 12:00 AM,28/Dec/22 2:14 PM,Allianz,Service Request (SR),438238,2022-12-27 16:12:00,2022-12-28 11:30:00,0 days 19:18:00.000000000,19.3
7,CI-7932,438228,Closed,nsanchez,2022-12-27 14:47:00,03/Jan/23 12:00 AM,27/Dec/22 2:52 PM,ProcurX,Incident Request (IR),438228,2022-12-27 14:47:00,,,
8,CI-7931,438225,Review,nsanchez,2022-12-27 12:36:00,12/Jan/23 12:00 AM,,msg systems,Service Request (SR),438225,2022-12-27 12:36:00,,,
9,CI-7930,438212,Review,nsanchez,2022-12-27 11:02:00,03/Jan/23 12:00 AM,,Endress Hauser,Incident Request (IR),438212,2022-12-27 11:02:00,,,
10,CI-7929,438078,Closed,nsanchez,2022-12-23 10:06:00,03/Jan/23 12:00 AM,27/Dec/22 10:49 AM,Endress Hauser,Incident Request (IR),438078,2022-12-23 10:06:00,,,
11,CI-7928,438007,Import in Production,yutaka,2022-12-23 04:20:00,26/Dec/22 12:00 AM,,Eberspacher,Service Request (SR),438007,2022-12-23 04:20:00,,,
12,CI-7927,437936,Review,ssanz,2022-12-22 15:16:00,29/Dec/22 12:00 AM,,Numiga,Incident Request (IR),437936,2022-12-22 15:16:00,,,
13,CI-7926,437932,Review,nsanchez,2022-12-22 15:08:00,02/Jan/23 12:00 AM,,Porsche,Service Request (SR),437932,2022-12-22 15:08:00,,,
14,CI-7925,437929,Import to Customer Test System,nsanchez,2022-12-22 14:58:00,02/Jan/23 12:00 AM,,Porsche,Service Request (SR),437929,2022-12-22 14:58:00,,,
15,CI-7924,437916,Import in Production,pthuaud,2022-12-22 14:29:00,11/Jan/23 12:00 AM,,Amadeus,Project,437916,2022-12-22 14:29:00,,,
16,CI-7923,437910,Review,ssanz,2022-12-22 14:17:00,29/Dec/22 12:00 AM,,Hugo Boss,Service Request (SR),437910,2022-12-22 14:17:00,,,
17,CI-7922,437886,Import in Production,pthuaud,2022-12-22 12:57:00,04/Jan/23 12:00 AM,,Amadeus,Project,437886,2022-12-22 12:57:00,,,
18,CI-7921,437843,Communicate,yutaka,2022-12-22 10:09:00,26/Dec/22 12:00 AM,,Lufthansa City Center,Incident Request (IR),437843,2022-12-22 10:09:00,2022-12-28 11:07:00,6 days 00:58:00.000000000,144.97
19,CI-7920,437833,Verify,yutaka,2022-12-22 09:35:00,26/Dec/22 12:00 AM,,Continental,Service Request (SR),437833,2022-12-22 09:35:00,,,
20,CI-7919,437810,Verify,shimizu,2022-12-22 07:35:00,27/Dec/22 12:00 AM,,Product Management,Service Request (SR),437810,2022-12-22 07:35:00,,,
21,CI-7918,437798,Configure,yutaka,2022-12-22 02:24:00,23/Dec/22 12:00 AM,,Porsche,Service Request (SR),437798,2022-12-22 02:24:00,,,
22,CI-7917,437773,Review,nsanchez,2022-12-21 16:16:00,28/Dec/22 12:00 AM,,DER,Service Request (SR),437773,2022-12-21 16:16:00,,,
23,CI-7916,437766,Review,wenner,2022-12-21 15:55:00,28/Dec/22 12:00 AM,,i:FAO,Service Request (SR),437766,2022-12-21 15:55:00,,,
